source,target,interaction,effect_size,pvalue,qvalue
THFtm,"Transport, Mitochondrial",in_pathway,-2.4031229681396056,0.00010516856049109789,0.002346455427504537
10FTHFtm,"Transport, Mitochondrial",in_pathway,2.4031229681396056,0.00010516856049109789,0.002346455427504537
FORtm,"Transport, Mitochondrial",in_pathway,2.4031229681396056,0.00010516856049109789,0.002346455427504537
GALt4,"Transport, Extracellular",in_pathway,-2.4031229681395927,0.00010516856049110301,0.002346455427504537
RADH4,Vitamin A Metabolism,in_pathway,-2.4031229681395927,0.00010516856049110274,0.002346455427504537
PEPCK_re,Glycolysis/Gluconeogenesis,in_pathway,-2.4031229681395883,0.00010516856049110437,0.002346455427504537
LPS2,Triacylglycerol Synthesis,in_pathway,-2.403122968139588,0.00010516856049110446,0.002346455427504537
ARACHDt2,"Transport, Extracellular",in_pathway,2.4031229681395567,0.00010516856049111624,0.002346455427504537
FATP5t,"Transport, Extracellular",in_pathway,2.4031229681395567,0.00010516856049111624,0.002346455427504537
DINt,"Transport, Extracellular",in_pathway,-2.4031229681395243,0.00010516856049112826,0.002346455427504537
EX_hxan_e,Extracellular exchange,in_pathway,-2.4031229681395243,0.00010516856049112826,0.002346455427504537
HYXNt,"Transport, Extracellular",in_pathway,2.4031229681395243,0.00010516856049112826,0.002346455427504537
PUNP6,Purine Catabolism,in_pathway,-2.4031229681395243,0.00010516856049112826,0.002346455427504537
DADAe,Nucleotides,in_pathway,-2.4031229681395243,0.00010516856049112826,0.002346455427504537
GLYCK2,Glyoxylate and Dicarboxylate Metabolism,in_pathway,2.4031229681395034,0.0001051685604911362,0.002346455427504537
HPYRRy,Glyoxylate and Dicarboxylate Metabolism,in_pathway,2.4031229681395034,0.0001051685604911362,0.002346455427504537
HMGLm,Cholesterol Metabolism,in_pathway,-2.403122968139396,0.00010516856049117635,0.002346455427504537
DNDPt34m,"Transport, Mitochondrial",in_pathway,-2.4031229681393946,0.00010516856049117685,0.002346455427504537
TMDK1m,Nucleotides,in_pathway,2.403122968139371,0.00010516856049118563,0.002346455427504537
NTD5m,Nucleotides,in_pathway,2.403122968139371,0.00010516856049118563,0.002346455427504537
GCHOLAte,"Transport, Extracellular",in_pathway,-2.4031229681392734,0.00010516856049122215,0.002346455427504537
GCHOLAt2,"Transport, Extracellular",in_pathway,2.4031229681392734,0.00010516856049122215,0.002346455427504537
THRGLNNaEx,"Transport, Extracellular",in_pathway,2.4031229681392343,0.00010516856049123659,0.002346455427504537
PCm,Pyruvate Metabolism,in_pathway,-2.403122968138922,0.00010516856049135361,0.002346455427504537
RDH1a,Vitamin A Metabolism,in_pathway,2.403122968138816,0.00010516856049139328,0.002346455427504537
ALDD2xm,Glycolysis/Gluconeogenesis,in_pathway,2.4031229681387534,0.00010516856049141662,0.002346455427504537
ACALDtm,"Transport, Mitochondrial",in_pathway,-2.4031229681387534,0.00010516856049141662,0.002346455427504537
