id,label,subsystem,effect_size,qvalue,type
PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,-2.5068461827079482,0.0006257224943077177,reaction
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),Nucleotides,-2.4739480801017613,0.002346455427504537,reaction
NAHCO3_HCLt,Bicarbonate transport (HCl/NaHCO3 exchange),"Transport, Extracellular",-2.412816221746935,0.002346455427504537,reaction
ICDHxm,Isocitrate dehydrogenase  NAD ,Citric Acid Cycle,-2.4031229682709676,0.002346455427504537,reaction
EX_glyc__S_e,(S)-Glycerate exchange,Extracellular exchange,-2.403122968141301,0.002346455427504537,reaction
HPYRR2x,Hydroxypyruvate reductase (NADH),Glyoxylate and Dicarboxylate Metabolism,-2.403122968141301,0.002346455427504537,reaction
GLYC_St,L-glycerate export,"Transport, Extracellular",-2.403122968141301,0.002346455427504537,reaction
EX_dgsn_e,Deoxyguanosine exchange,Extracellular exchange,-2.403122968140523,0.002346455427504537,reaction
DGSNt,Deoyguanosine transport via diffusion,"Transport, Extracellular",2.403122968140523,0.002346455427504537,reaction
DM_dgtp_m,"Demand for dGTP, Mitochondrial",Intracellular demand,-2.403122968140476,0.002346455427504537,reaction
NDPK5m,"Nucleoside-diphosphate kinase (ATP:dGDP), mitochondrial",Nucleotides,-2.403122968140476,0.002346455427504537,reaction
ASPNATm,"Aspartate N-acetyltransferase, mitochondrial",Alanine and Aspartate Metabolism,-2.403122968139855,0.002346455427504537,reaction
NACASPAH,N-Acetyl-L-aspartate amidohydrolase,Alanine and Aspartate Metabolism,-2.403122968139855,0.002346455427504537,reaction
NACASPtm,N-acetyl-L-aspartate transport (mitochondria to cytosol),"Transport, Mitochondrial",-2.403122968139855,0.002346455427504537,reaction
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",-2.403122968139773,0.002346455427504537,reaction
SERtp,"L-serine transport, peroxisomal","Transport, Peroxisomal",-2.4031229681397552,0.002346455427504537,reaction
HPYRtp,"Hydroxypyruate transport, peroxisomal","Transport, Peroxisomal",2.4031229681397552,0.002346455427504537,reaction
SPTix,"Serine-pyruvate aminotransferase (irreversible), peroxisomal","Glycine, Serine, and Threonine Metabolism",-2.4031229681397552,0.002346455427504537,reaction
AGTix,"Alanine---glyoxylate aminotransferase, glyoxysome",Alanine and Aspartate Metabolism,-2.4031229681397552,0.002346455427504537,reaction
MALTSULtm,"Malate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",2.403122968139741,0.002346455427504537,reaction
FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",-2.403122968139741,0.002346455427504537,reaction
ALASERNaEx,L-alanine/L-serine Na-dependent exchange (Ala-L in),"Transport, Extracellular",-2.4031229681397073,0.002346455427504537,reaction
DURAD2,Dihydrothymin dehydrogenase (NADP),Pyrimidine Catabolism,2.4031229681396806,0.002346455427504537,reaction
BUP2,Beta-ureidopropionase (D-3-amino-isobutanoate forming),Pyrimidine Catabolism,-2.4031229681396806,0.002346455427504537,reaction
DHPM2,Dihydropyrimidinase (dihydrothymine),Pyrimidine Catabolism,-2.4031229681396806,0.002346455427504537,reaction
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,-2.4031229681396806,0.002346455427504537,reaction
D_3AIBt,D-3-amino-isobutyrate transport,"Transport, Extracellular",-2.4031229681396806,0.002346455427504537,reaction
ALACYSNaEx,L-alanine/L-cysteine Na-dependent exchange (Ala-L in),"Transport, Extracellular",-2.403122968139618,0.002346455427504537,reaction
MECOALm,"Mesaconate--CoA ligase (ADP-forming), mitochondrial",C5-Branched dibasic acid metabolism,2.4031229681396065,0.002346455427504537,reaction
MECOAS1m,Mesaconate--CoA ligase (GDP-forming),C5-Branched dibasic acid metabolism,-2.4031229681396065,0.002346455427504537,reaction
