id,label,subsystem,effect_size,qvalue,type
DGK1,Deoxyguanylate kinase (dGMP:ATP),Nucleotides,1.0143593234723896,0.00016971292000614763,reaction
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,-1.0143593234702473,0.00016971292000614763,reaction
EX_arg__L_e,L-Arginine exchange,Extracellular exchange,0.9702214174132782,0.0002658052538210417,reaction
PROD2m,Proline dehydrogenase (m),Arginine and Proline Metabolism,-0.9607011655314265,0.014411943768650511,reaction
DNDPt34m,DGDP transport via dTDP antiport,"Transport, Mitochondrial",-0.9431309239266074,0.0004091528122446675,reaction
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,-0.9340009357054059,0.021990073489560648,reaction
HEX1,Hexokinase (D-glucose:ATP),Glycolysis/Gluconeogenesis,-0.9322645774804628,0.04238675649153522,reaction
EX_pyr_e,Pyruvate exchange,Extracellular exchange,0.9288018419656501,0.0004987035907020481,reaction
PYRt2,Pyruvate transport in via proton symport,"Transport, Extracellular",-0.9288018419656501,0.0004987035907020481,reaction
CSNATp,Carnitine O acetyltransferase  reverse direction  peroxisomal,Fatty Acid Metabolism,-0.9284898825248046,0.007619985166821266,reaction
CRNCARtp,Carnitine acetylcarnitine carrier  peroxisomal,"Transport, Peroxisomal",-0.9284898825248046,0.007619985166821266,reaction
CSNATr_copy2,Carnitine O acetyltransferase,Carnitine shuttle,0.9262013326934841,0.007837685347594233,reaction
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,Propanoate Metabolism,0.9238098051775044,0.008072507987145034,reaction
GLPASE1,Glycogen phosphorylase (glygn2 -> dxtrn),Starch and Sucrose Metabolism,-0.8809260231831104,0.018707904472639265,reaction
GLDBRAN,Glycogen debranching enzyme,Starch and Sucrose Metabolism,-0.8809260231831104,0.018707904472639265,reaction
GLPASE2,Glycogen phosphorylase (amyls -> glc-D),Starch and Sucrose Metabolism,-0.8809260231831104,0.018707904472639265,reaction
GLBRAN,"1,4-alpha-glucan branching enzyme (glygn1 -> glygn2)",Starch and Sucrose Metabolism,-0.8809260231831081,0.018707904472639265,reaction
GGNG,Glycogenin self-glucosylation,Starch and Sucrose Metabolism,-0.8809260231831081,0.018707904472639265,reaction
GLGNS1,Glycogen synthase (ggn -> glygn1),Starch and Sucrose Metabolism,-0.8809260231831081,0.018707904472639265,reaction
EX_ser__L_e,L-Serine exchange,Extracellular exchange,0.8706171525951243,0.020667341899418747,reaction
EX_so4_e,Sulfate exchange,Extracellular exchange,0.8522946494886615,0.0016948970241821195,reaction
SULFOX,Sulfite oxidase,Cysteine Metabolism,0.8522946494886615,0.0016948970241821195,reaction
GK1,Guanylate kinase (GMP:ATP),Nucleotides,-0.851306064891113,0.0016948970241821195,reaction
TRDR,Thioredoxin reductase (NADPH),Nucleotides,-0.851306064891113,0.0016948970241821195,reaction
RNDR2,Ribonucleoside-diphosphate reductase (GDP),Nucleotides,-0.851306064891113,0.0016948970241821195,reaction
