id,label,subsystem,effect_size,qvalue,type
ARGt5r,ARGtiDF,"Transport, Extracellular",-1.075439775361294,0.0021705486084608707,reaction
H2O2t,Hydrogen peroxide transport via diffusion,"Transport, Extracellular",1.031834977548605,0.0013795427723520602,reaction
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,1.0278235043836286,0.0014638135662338656,reaction
CEPTC,Choline phosphotransferase,Glycerophospholipid Metabolism,-1.026057204016575,0.001895208927566241,reaction
CHLPCTD,Choline phosphate cytididyltransferase,Glycerophospholipid Metabolism,-1.026057204016575,0.001895208927566241,reaction
CHOLK,Choline kinase,Glycerophospholipid Metabolism,-1.026057204016575,0.001895208927566241,reaction
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,1.0221742341136106,0.002299448273769743,reaction
ARTFR13,R group artificial flux,R Group Synthesis,1.0221742341136106,0.002299448273769743,reaction
CYTK14,"Cytidylate kinase (dCMP,UTP)",Nucleotides,1.0067392260329207,0.0019721965215264807,reaction
PROD2,Proline dehydrogenase,Arginine and Proline Metabolism,-0.9896631955161621,0.0023725421096212804,reaction
ARTPLM1,R group to palmitate conversion,R Group Synthesis,-0.9772333605625021,0.003328237805376841,reaction
CYOR_u10m,"Ubiquinol-6 cytochrome c reductase, Complex III",Oxidative Phosphorylation,-0.9752203919690546,0.002938468954725851,reaction
PIt2m_2,Phosphate mitochondrial transport via proton symport,,-0.9700219238026556,0.003328237805376841,reaction
ADK3,Adentylate kinase (GTP),Nucleotides,0.9688360453407042,0.0032956058978882217,reaction
PROD2m,Proline dehydrogenase (m),Arginine and Proline Metabolism,-0.9655738595523236,0.003441366130019387,reaction
OCOAT1m,3-oxoacid CoA-transferase,"Valine, Leucine, and Isoleucine Metabolism",0.9446196946552702,0.00454339353586758,reaction
O2ter,O2  transport  endoplasmic reticulum,"Transport, Endoplasmic Reticular",-0.9404013911261331,0.0046654291338120695,reaction
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,-0.9320167474598058,0.006154802237668397,reaction
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,-0.9306483292869546,0.005474237678320417,reaction
SRTNt6_2_r,SRTNt6 LPAREN 2 RPAREN r,"Transport, Extracellular",0.9296676079254755,0.011576056636888392,reaction
FAOXC180x,Beta oxidation of long chain fatty acid,"Fatty acid oxidation, peroxisome",-0.9055560416481062,0.0076554201969636256,reaction
NADH2_u10m,"NADH dehydrogenase, mitochondrial",Oxidative Phosphorylation,-0.8823169733120493,0.010795602700518521,reaction
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,-0.8680206099926197,0.013436726183168374,reaction
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",-0.8412546362695755,0.023331798368870196,reaction
EX_fru_e,D-Fructose exchange,Extracellular exchange,0.8412546362695755,0.023331798368870196,reaction
H2O2tp,"Hydrogen peroxide transport via diffusion, glyoxysome","Transport, Peroxisomal",0.801469636057094,0.03202300697046812,reaction
PIt8,Phosphate transport in/out via Na+ symporter,"Transport, Extracellular",-0.7968665510934717,0.03402114396227928,reaction
P5CRxm,Pyrroline-5-carboxylate reductase (m),Arginine and Proline Metabolism,-0.7823358487725502,0.041681653927042,reaction
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD ,Folate Metabolism,0.7773184024773481,0.043443133602867626,reaction
Fatty acid elongation,Fatty acid elongation,Fatty acid elongation,,,subsystem
"Transport, Extracellular","Transport, Extracellular","Transport, Extracellular",,,subsystem
Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,,,subsystem
Nucleotides,Nucleotides,Nucleotides,,,subsystem
