reaction_id,reaction_name,flux_baseline,flux_microbiome,flux_delta,flux_delta_pct,microbiome_attributable
HSD17B3r,Testicular 17-beta-hydroxysteroid dehydrogenase,0.0,0.0,0.0,,False
HSD17B2r,17-beta-hydroxysteroid dehydrogenase,0.0,0.0,0.0,,False
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,0.0,0.0,0.0,,False
HSD11B2r,11-beta-hydroxysteroid dehydrogenase type 2,0.1,0.1,0.0,0.0,False
HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,-0.1,-0.1,0.0,0.0,False
HSAT4ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",0.0,0.0,0.0,,False
HISTASE,HISTASE,0.0,0.0,0.0,,False
HISDC,Histidine decarboxylase,0.0,0.0,0.0,,False
AKGtp,AKG transporter  peroxisome,0.0,0.0,0.0,,False
HISDr,Histidase r,0.8789321014713627,0.8789321014713627,0.0,0.0,False
HSAT3ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",0.0,0.0,0.0,,False
HIBDm,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.0,0.0,0.0,,False
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,0.0,0.0,0.0,,False
HSAT2ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",0.0,0.0,0.0,,False
HSAT1ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",0.0,0.0,0.0,,False
AKR1C42,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",0.0,0.0,0.0,,False
HMGCOARr,Hydroxymethylglutaryl CoA reductase (ir),0.0,0.0,0.0,,False
HMBS,Hydroxymethylbilane synthase,0.0,0.0,0.0,,False
HSD17B9r,17-beta-hydroxysteroid dehydrogenase (type 7),0.01078917503806485,0.01078917503806485,0.0,0.0,False
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,0.0,0.0,0.0,,False
AKR1C41,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",0.0,0.0,0.0,,False
HSD17B7r,Testicular 17-beta-hydroxysteroid dehydrogenase,0.0,0.0,0.0,,False
HKt,H+/K+ gastric/non-gastric P-ATPase and ABC ATPase,0.0,0.0,0.0,,False
HKYNH,3 Hydroxy L kynurenine hydrolase,0.0,0.0,0.0,,False
