column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
HFD_GSE160646_GSM4876384_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876384_HFD_1w,7.60095476864445,10.812987209043422,-8.555386410460507,2.343556121658581,-2.162885307510354
HFD_GSE160646_GSM4876386_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876386_HFD_1w,6.739656810889011,4.318270039783481,-11.882280493598499,0.0685406195478232,-7.551497084379667
HFD_GSE160646_GSM4876389_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876389_HFD_1w,6.2845600160942645,-4.434511231610641,-6.809883191568836,-7.227386292884948,-9.611739292878056
HFD_GSE160646_GSM4876393_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876393_HFD_1w,5.669971840298924,3.3304802091862094,-9.082033598850462,-2.040379377228247,-4.44630616334667
HFD_GSE160646_GSM4876396_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876396_HFD_1w,7.510903350643059,-10.324169341957031,-10.722297538989835,-9.424430359100802,-15.131375879285873
HFD_GSE160646_GSM4876400_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876400_HFD_1w,8.381464752707018,5.3269211314260385,-10.815192872305127,-0.35904866051065104,-4.208469427115967
HFD_GSE160646_GSM4876406_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876406_HFD_1w,5.691613734895779,-4.582902860162865,-12.26689664984811,-6.631478767668127,-10.581236643768978
HFD_GSE160646_GSM4876412_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876412_HFD_1w,7.7814856579562095,-0.4836362306790338,-10.917595127600705,-6.044557838730226,-11.553136007960795
HFD_GSE188344_HFD_1_Flux,HFD,GSE188344,HFD_GSE188344_HFD_1,-24.935102704457567,7.453501473066656,2.8029064627068756,-4.116620100149903,0.5931756292065322
HFD_GSE188344_HFD_2_Flux,HFD,GSE188344,HFD_GSE188344_HFD_2,-23.3259182049327,7.031832261399511,4.085640098758487,-4.2499800544640305,0.20783017206224697
HFD_GSE188344_HFD_3_Flux,HFD,GSE188344,HFD_GSE188344_HFD_3,-22.789585742315314,6.41902892578016,4.347324043708516,-3.935786758852303,0.3823017058426408
HFD_GSE188344_HFD_4_Flux,HFD,GSE188344,HFD_GSE188344_HFD_4,-23.574977064663944,7.393748016601181,3.301852568175645,-3.2982531639980643,1.3461306911706745
HFD_GSE246221_Batch9_HFD_only32w_1_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_1,-27.072374079620513,10.376834131927684,1.8165958648554628,-6.076119437516655,0.9488725645707924
HFD_GSE246221_Batch9_HFD_only32w_2_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_2,-25.446164528294556,7.381421324036279,3.4048638531712054,-4.349997657609187,0.03710997631280133
HFD_GSE246221_Batch9_HFD_only32w_3_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_3,-26.20615366309795,8.979606627778367,3.1623567036190128,-4.7299780838052685,1.0024892569670434
HFD_GSE248297_HFD_1_Flux,HFD,GSE248297,HFD_GSE248297_HFD_1,-18.389839409706138,-7.837759091451933,-3.714290540849842,7.806915227149144,1.062018460520495
HFD_GSE248297_HFD_2_Flux,HFD,GSE248297,HFD_GSE248297_HFD_2,-21.311751764179967,-3.0052358652324798,-0.9136005059295546,2.5506842012793274,2.0123202940336653
HFD_GSE248297_HFD_3_Flux,HFD,GSE248297,HFD_GSE248297_HFD_3,-22.47008184869888,-0.7710467441379308,1.6894761761274695,0.007407080037376266,0.9180047398286786
HFD_GSE248297_HFD_4_Flux,HFD,GSE248297,HFD_GSE248297_HFD_4,-19.75482035350165,-7.3049984961645205,-2.6981610519527788,4.176190380038252,-2.3728024125010627
HFD_GSE248297_HFD_5_Flux,HFD,GSE248297,HFD_GSE248297_HFD_5,-19.32035922136951,-4.837972023194792,-1.4022330345632497,3.0805633823335663,0.21328857422294473
KD_GSE101657_KD_0_Flux,KD,GSE101657,KD_GSE101657_KD_0,5.460754735684561,-7.868578055065488,6.153893403999147,-6.356706384259036,0.6703075465574595
KD_GSE101657_KD_1_Flux,KD,GSE101657,KD_GSE101657_KD_1,5.663367505745665,2.2295935230955117,-3.0247182531289227,-0.5461867451408605,3.204521485138435
KD_GSE101657_KD_2_Flux,KD,GSE101657,KD_GSE101657_KD_2,5.89468376826857,3.019968616816255,-2.523022349549281,-1.6395969850194267,6.0864587032675885
