reaction_id,reaction_name,subsystem,category,n_cell_types,primary_driver,secondary_drivers,all_cell_types
LNLNCAt,Fatty acid transport via diffusion,"Transport, Extracellular",MULTI_CELLULAR,19,LECs,"Cx3cr1+, Ccr2+ MdM; Cd207-, Trem2+ Mo-KC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; cAMP qHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; T cells; Cycling; B cells; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,MULTI_CELLULAR,13,"Cx3cr1+, Ccr2+ MdM","Ly6c2+, Ccr2+ Mo; Timd4+ resKC","qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; Cycling; B cells; Trem2+, Spp1+ MdM"
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD ,Folate Metabolism,MULTI_CELLULAR,15,"Cx3cr1+, Ccr2+ MdM","Timd4+ resKC; Ly6c2+, Ccr2+ Mo","qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; Cycling; B cells; Trem2+, Spp1+ MdM; Transitioning Mo; DCs"
METtec,L-methionine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",MULTI_CELLULAR,10,qHSCs,aHSCs; Neutrophiles,"qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; DCs; Mast cells"
NCCt,Na+-Cl- cotransport,"Transport, Extracellular",NON_CELLULAR,0,NONE,,
PCREATtmdiffir,Phosphocreatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,MULTI_CELLULAR,12,qHSCs,aHSCs; Dendrites,"qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,MULTI_CELLULAR,11,LECs,qHSCs; Cholangiocytes,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; Mast cells"
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,MULTI_CELLULAR,21,LECs,Hepatocytes; T cells,"LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
PGMT,Phosphoglucomutase,Glycolysis/Gluconeogenesis,MULTI_CELLULAR,11,LECs,"Ly6c2+, Ccr2+ Mo; qHSCs","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Transitioning Mo; Mast cells"
PIt9,Phosphate transport in/out via two Na+ symporter,"Transport, Extracellular",NON_CELLULAR,0,NONE,,
