ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,mthgxl_c,Methylglyoxal,-1.0,-0.8551912600026543,0.1085757520487071
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,nad_c,Nicotinamide adenine dinucleotide,1.0,-0.8551912600026543,0.1085757520487071
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,nadh_c,Nicotinamide adenine dinucleotide - reduced,-1.0,-0.8551912600026543,0.1085757520487071
LNLNCAt,Fatty acid transport via diffusion,"Transport, Extracellular",lnlnca_c,"Alpha-Linolenic acid, C18:3, n-3",1.0,0.2818468031756079,281846803175.608
LNLNCAt,Fatty acid transport via diffusion,"Transport, Extracellular",lnlnca_e,"Alpha-Linolenic acid, C18:3, n-3",-1.0,0.2818468031756079,281846803175.608
MACACI,Maleylacetoacetate isomerase,Tyrosine metabolism,4fumacac_c,4 Fumarylacetoacetate C8H6O6,1.0,-0.2926531421587364,0.0
MACACI,Maleylacetoacetate isomerase,Tyrosine metabolism,4mlacac_c,4 Maleylacetoacetate C8H6O6,-1.0,-0.2926531421587364,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",mal__L_c,L-Malate,-1.0,-0.3357400465746099,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",mal__L_m,L-Malate,1.0,-0.3357400465746099,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_c,Sulfite,1.0,-0.3357400465746099,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_m,Sulfite,-1.0,-0.3357400465746099,0.0
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",mal__L_c,L-Malate,-1.0,0.3290829422271848,0.7226242418806407
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",mal__L_m,L-Malate,1.0,0.3290829422271848,0.7226242418806407
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",pi_c,Phosphate,1.0,0.3290829422271848,0.7226242418806407
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",pi_m,Phosphate,-1.0,0.3290829422271848,0.7226242418806407
NAt,Sodium transport (uniport),"Transport, Extracellular",na1_c,Sodium,1.0,-0.2,0.99999999999
NAt,Sodium transport (uniport),"Transport, Extracellular",na1_e,Sodium,-1.0,-0.2,0.99999999999
NH4tp,Ammonia peroxisomal transport,"Transport, Peroxisomal",nh4_c,Ammonium,-1.0,-0.327172364918564,4.271723649142922
NH4tp,Ammonia peroxisomal transport,"Transport, Peroxisomal",nh4_x,Ammonium,1.0,-0.327172364918564,4.271723649142922
O2t,O2 transport  diffusion ,"Transport, Extracellular",o2_c,O2 O2,1.0,-1.391885812829564,0.753802100061161
O2t,O2 transport  diffusion ,"Transport, Extracellular",o2_e,O2 O2,-1.0,-1.391885812829564,0.753802100061161
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,co2_c,CO2 CO2,1.0,-0.2332768916635853,0.2935764624230421
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,gdp_c,GDP C10H12N5O11P2,1.0,-0.2332768916635853,0.2935764624230421
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,gtp_c,GTP C10H12N5O14P3,-1.0,-0.2332768916635853,0.2935764624230421
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,oaa_c,Oxaloacetate,-1.0,-0.2332768916635853,0.2935764624230421
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,pep_c,Phosphoenolpyruvate,1.0,-0.2332768916635853,0.2935764624230421
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,f6p_c,D-Fructose 6-phosphate,1.0,0.2107866118628579,0.3728757161494119
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,g6p_c,D-Glucose 6-phosphate,-1.0,0.2107866118628579,0.3728757161494119
RTOT1,R total flux,R Group Synthesis,R1coa_hs_c,R group 1 Coenzyme A homo sapiens,-1.0,-1.3558313931493935,0.06062363807456
RTOT1,R total flux,R Group Synthesis,Rtotalcoa_c,Rtotalcoa c,1.0,-1.3558313931493935,0.06062363807456
RTOT4,R total flux,R Group Synthesis,R4coa_hs_c,R group 4 Coenzyme A homo sapiens,-1.0,1.3503636560482934,1350363656048.2937
RTOT4,R total flux,R Group Synthesis,Rtotalcoa_c,Rtotalcoa c,1.0,1.3503636560482934,1350363656048.2937
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,adp_c,ADP C10H12N5O10P2,-1.0,-0.2332768916635854,0.457776072009911
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,atp_c,ATP C10H12N5O13P3,1.0,-0.2332768916635854,0.457776072009911
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,h_c,H+,-1.0,-0.2332768916635854,0.457776072009911
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,pep_c,Phosphoenolpyruvate,-1.0,-0.2332768916635854,0.457776072009911
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,pyr_c,Pyruvate,1.0,-0.2332768916635854,0.457776072009911
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,h_c,H+,-1.0,-0.3747830400265369,374783040026.537
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,h_x,H+,1.0,-0.3747830400265369,374783040026.537
