reaction_id,reaction_name,subsystem,compartment,gpr,compartment_readable
EX_adprib_e,ADPribose exchange,Extracellular exchange,e,,extracellular
EX_adrn_e,Adrenic acid exchange,Extracellular exchange,e,,extracellular
EX_adrnl_e,Adrenaline exchange,Extracellular exchange,e,,extracellular
EX_aflatoxin_e,Aflatoxin B1 exchange,Extracellular exchange,e,,extracellular
EX_ahandrostanglc_e,Etiocholan-3alpha-ol-17-one 3-glucuronide exchange,Extracellular exchange,e,,extracellular
DM_core7_g,"Demand for Core7, Golgi Apparatus",Intracellular demand,g,,g
DM_core8_g,"Demand for Core8, Golgi Apparatus",Intracellular demand,g,,g
DM_datp_m,DATP demand,Intracellular demand,m,,mitochondria
DM_datp_n,"Demand for dATP, Nuclear",Intracellular demand,n,,nucleus
DM_dctp_m,DCTP demand,Intracellular demand,m,,mitochondria
DM_13_cis_oretn_n,13-cis-oxo-retinoic acid demand,Intracellular demand,n,,nucleus
DM_13_cis_retn_n,13-cis-retinoate demand,Intracellular demand,n,,nucleus
EX_ak2lgchol_hs_e,1-alkyl 2-lysoglycerol 3-phosphocholine exchange,Extracellular exchange,e,,extracellular
EX_akg_e,2-Oxoglutarate exchange,Extracellular exchange,e,,extracellular
EX_ala_B_e,Beta-Alanine exchange,Extracellular exchange,e,,extracellular
DM_Asn_X_Ser_Thr_l,DM Asn  X  Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,l,,l
EX_4nphsf_e,4-Nitrophenyl sulfate exchange,Extracellular exchange,e,,extracellular
DM_Ser_Gly_Ala_X_Gly_l,DM Ser  Gly FSLASH Ala  X  Gly LPAREN ly RPAREN ,Intracellular demand,l,,l
DM_dctp_n,"Demand for dCTP, Nuclear",Intracellular demand,n,,nucleus
DM_dem2emgacpail_prot_hs_r,"Demand for  Deacylated-(Phosphoethanolaminyl-Dimannosyl),(Phosphoethanolaminyl)-Mannosyl-Glucosaminyl-Acylphosphatidylinositol,  Endoplasmatic Reticulum",Intracellular demand,r,,ER
EX_ala__D_e,D-Alanine exchange,Extracellular exchange,e,,extracellular
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,e,,extracellular
EX_aldstrn_e,Aldosterone exchange,Extracellular exchange,e,,extracellular
EX_amp_e,AMP exchange,Extracellular exchange,e,,extracellular
DM_dgpi_prot_hs_r,"Demand for  Deacylated-Glycophosphatidylinositol (Gpi)-Anchored Protein,  Endoplasmatic Reticulum",Intracellular demand,r,,ER
EX_4pyrdx_e,4-Pyridoxate exchange,Extracellular exchange,e,,extracellular
DM_dgtp_m,"Demand for dGTP, Mitochondrial",Intracellular demand,m,,mitochondria
EX_andrstrn_e,Androsterone exchange,Extracellular exchange,e,,extracellular
EX_andrstrnglc_e,Androsterone glucuronide exchange,Extracellular exchange,e,,extracellular
EX_5adtststerone_e,5alpha-Dihydrotestosterone exchange,Extracellular exchange,e,,extracellular
EX_antipyrene_e,Antipyrene exchange,Extracellular exchange,e,,extracellular
DM_dgtp_n,"Demand for dGTP, Nuclear",Intracellular demand,n,,nucleus
DM_dsT_antigen_g,"Demand for  Disialyl-T Antigen,  Golgi Apparatus",Intracellular demand,g,,g
EX_5adtststeroneglc_e,5alpha-Dihydrotestosterone glucuronide exchange,Extracellular exchange,e,,extracellular
DM_dttp_m,DTTP demand,Intracellular demand,m,,mitochondria
DM_dttp_n,"Demand for dTTP, Nuclear",Intracellular demand,n,,nucleus
DM_ethamp_r,Ethanolamine phosphate demand,Intracellular demand,r,,ER
DM_gncore2_g,"Demand for gncore  2, Golgi Apparatus",Intracellular demand,g,,g
DM_gpi_sig_r,DM gpi sig LPAREN er RPAREN ,Intracellular demand,r,,ER
EX_5adtststerones_e,5alpha-Dihydrotestosterone sulfate exchange,Extracellular exchange,e,,extracellular
DM_hretn_n,4 hydroxy retinoic acid demand,Intracellular demand,n,,nucleus
DM_kdn_c,"Demand for  2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid,  Cytosolic",Intracellular demand,c,,cytosol
EX_apnnox_e,Alpha-Pinene-oxide exchange,Extracellular exchange,e,,extracellular
EX_appnn_e,(+)-alpha-Pinene exchange,Extracellular exchange,e,,extracellular
DM_m_em_3gacpail_prot_hs_r,DM m LPAREN em RPAREN 3gacpail prot hs r,Intracellular demand,r,,ER
EX_5dhf_e,Pentaglutamyl folate (DHF) exchange,Extracellular exchange,e,,extracellular
DM_melanin_c,"Demand for Melanin, Cytosolic",Intracellular demand,c,,cytosol
EX_aprgstrn_e,20alpha-Hydroxyprogesterone exchange,Extracellular exchange,e,,extracellular
EX_aqcobal_e,Aquacob(III)alamin exchange,Extracellular exchange,e,,extracellular
EX_5mthf_e,5-Methyltetrahydrofolate exchange,Extracellular exchange,e,,extracellular
EX_arab__L_e,L-Arabinose exchange,Extracellular exchange,e,,extracellular
EX_arach_e,Arachidic acid exchange,Extracellular exchange,e,,extracellular
DM_mem2emgacpail_prot_hs_r,"Demand for  ({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B),  Endoplasmatic Reticulum",Intracellular demand,r,,ER
DM_n5m2masn_g,"Demand for  ((N-Acetyl-D-Glucosaminyl)5-(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyl)-L-Asparagine (Protein),  Golgi Apparatus",Intracellular demand,g,,g
DM_oretn_n,4-oxo-retonoic acid demand,Intracellular demand,n,,nucleus
EX_arachd_e,NC20:4 exchange,Extracellular exchange,e,,extracellular
DM_sTn_antigen_g,"Demand for  Sialyl-Tn Antigen,  Golgi Apparatus",Intracellular demand,g,,g
EX_5thf_e,Pentaglutamyl folate (THF) exchange,Extracellular exchange,e,,extracellular
DM_sprm_c,"Demand for  Spermine,  Cytosolic",Intracellular demand,c,,cytosol
DM_yvite_c,Gamma-Tocopherol demand,Intracellular demand,c,,cytosol
SK_T_antigen_g,DM T antigen[g],Intracellular source/sink,g,,g
EX_arg__L_e,L-Arginine exchange,Extracellular exchange,e,,extracellular
EX_ascb__L_e,L-Ascorbate exchange,Extracellular exchange,e,,extracellular
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,e,,extracellular
EX_asp__D_e,D-Aspartate exchange,Extracellular exchange,e,,extracellular
EX_6dhf_e,Haxglutamyl folate (DHF) exchange,Extracellular exchange,e,,extracellular
EX_asp__L_e,L-Aspartate exchange,Extracellular exchange,e,,extracellular
EX_10fthf_e,10-Formyltetrahydrofolate exchange,Extracellular exchange,e,,extracellular
EX_10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5) exchange,Extracellular exchange,e,,extracellular
EX_6htststerone_e,6 beta hydroxy testosterone exchange,Extracellular exchange,e,,extracellular
EX_atp_e,EX atp LPAREN e RPAREN ,Extracellular exchange,e,,extracellular
EX_avite1_e,Alpha-Tocopherol exchange,Extracellular exchange,e,,extracellular
EX_avite2_e,Alpha-Tocotrienol exchange,Extracellular exchange,e,,extracellular
EX_10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6) exchange,Extracellular exchange,e,,extracellular
EX_10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7) exchange,Extracellular exchange,e,,extracellular
EX_11_cis_retfa_e,Fatty acid 11-cis-retinol exchange,Extracellular exchange,e,,extracellular
EX_bhb_e,(R)-3-Hydroxybutanoate transport via H+ symport,Extracellular exchange,e,,extracellular
EX_6thf_e,Hexaglutamyl folate  (THF) exchange,Extracellular exchange,e,,extracellular
EX_13_cis_retnglc_e,13-cis-retinoyl glucuronide exchange,Extracellular exchange,e,,extracellular
EX_1glyc_hs_e,1 acyl phosphoglycerol exchange,Extracellular exchange,e,,extracellular
EX_1mncam_e,1-Methylnicotinamide exchange,Extracellular exchange,e,,extracellular
EX_7dhf_e,Heptaglutamyl folate (DHF) exchange,Extracellular exchange,e,,extracellular
EX_2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2 exchange",Extracellular exchange,e,,extracellular
EX_2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3 exchange",Extracellular exchange,e,,extracellular
EX_7thf_e,Heptaglutamyl folate (THF) exchange,Extracellular exchange,e,,extracellular
EX_24nph_e,"2,4 dihydroxy nitrophenol exchange",Extracellular exchange,e,,extracellular
EX_9_cis_retfa_e,Fatty acid 9-cis-retinol exchange,Extracellular exchange,e,,extracellular
EX_25hvitd2_e,25-Hydroxyvitamin D2 exchange,Extracellular exchange,e,,extracellular
EX_25hvitd3_e,25-Hydroxyvitamin D3 exchange,Extracellular exchange,e,,extracellular
EX_bildglcur_e,Bilirubin beta-diglucuronide exchange,Extracellular exchange,e,,extracellular
EX_bilglcur_e,Bilirubin monoglucuronide exchange,Extracellular exchange,e,,extracellular
EX_bilirub_e,Bilirubin exchange,Extracellular exchange,e,,extracellular
EX_clpnd_e,Clupanodonic acid (docosapentaenoic (n-3)) exchange,Extracellular exchange,e,,extracellular
EX_biocyt_e,Biocytin exchange,Extracellular exchange,e,,extracellular
EX_cysi__L_e,L Cystine exchange,Extracellular exchange,e,,extracellular
EX_2hb_e,2 Hydroxybutyrate exchange,Extracellular exchange,e,,extracellular
EX_2mcit_e,2-Methylcitrate exchange,Extracellular exchange,e,,extracellular
EX_Rtotal_e,R total exchange,Extracellular exchange,e,,extracellular
EX_Rtotal2_e,R total 2 position exchange,Extracellular exchange,e,,extracellular
EX_Rtotal3_e,R total 3 position exchange,Extracellular exchange,e,,extracellular
EX_cspg_e_e,"Chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan exchange",Extracellular exchange,e,,extracellular
EX_Tyr_ggn_e,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) exchange,Extracellular exchange,e,,extracellular
EX_btn_e,Biotin exchange,Extracellular exchange,e,,extracellular
EX_abt_e,L Arabinitol exchange,Extracellular exchange,e,,extracellular
EX_but_e,Butyrate (n-C4:0) exchange,Extracellular exchange,e,,extracellular
EX_bvite_e,Beta-tocopherol exchange,Extracellular exchange,e,,extracellular
EX_cyan_e,Hydrogen cyanide exchange,Extracellular exchange,e,,extracellular
EX_cys__L_e,L-Cysteine exchange,Extracellular exchange,e,,extracellular
EX_ac_e,Acetate exchange,Extracellular exchange,e,,extracellular
EX_cytd_e,Cytidine exchange,Extracellular exchange,e,,extracellular
EX_dad_2_e,Deoxyadenosine exchange,Extracellular exchange,e,,extracellular
EX_dad_5_e,5'-Deoxyadenosine exchange,Extracellular exchange,e,,extracellular
EX_dag_hs_e,Diacylglycerol (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_bz_e,Benzoate exchange,Extracellular exchange,e,,extracellular
EX_ca2_e,Calcium exchange,Extracellular exchange,e,,extracellular
EX_camp_e,CAMP exchange,Extracellular exchange,e,,extracellular
EX_caro_e,Beta-Carotene exchange,Extracellular exchange,e,,extracellular
EX_acac_e,Acetoacetate exchange,Extracellular exchange,e,,extracellular
EX_carveol_e,(E)-carveol exchange,Extracellular exchange,e,,extracellular
EX_cca_d3_e,Calcitroic acid (D3) exchange,Extracellular exchange,e,,extracellular
EX_dcsptn1_e,"Docosa-4,7,10,13,16-pentaenoic acid (n-6) exchange",Extracellular exchange,e,,extracellular
EX_gq1b_hs_e,GQ1b (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_dcyt_e,Deoxycytidine exchange,Extracellular exchange,e,,extracellular
EX_debrisoquine_e,EX debrisoquine e,Extracellular exchange,e,,extracellular
EX_dgchol_e,Chenodeoxyglycocholate exchange,Extracellular exchange,e,,extracellular
EX_dgsn_e,Deoxyguanosine exchange,Extracellular exchange,e,,extracellular
EX_dhdascb_e,Dehydroascorbate exchange,Extracellular exchange,e,,extracellular
EX_cgly_e,Cys-Gly exchange,Extracellular exchange,e,,extracellular
EX_chol_e,Choline exchange,Extracellular exchange,e,,extracellular
EX_cholate_e,Cholate exchange,Extracellular exchange,e,,extracellular
EX_chsterol_e,Cholesterol exchange,Extracellular exchange,e,,extracellular
EX_chtn_e,Chitin exchange,Extracellular exchange,e,,extracellular
EX_cit_e,Citrate exchange,Extracellular exchange,e,,extracellular
EX_cl_e,Chloride exchange,Extracellular exchange,e,,extracellular
EX_cmp_e,CMP exchange,Extracellular exchange,e,,extracellular
EX_co_e,EX co LPAREN e RPAREN ,Extracellular exchange,e,,extracellular
EX_co2_e,CO2 exchange,Extracellular exchange,e,,extracellular
EX_coumarin_e,Coumarin exchange,Extracellular exchange,e,,extracellular
EX_creat_e,Creatine exchange,Extracellular exchange,e,,extracellular
EX_crmp_hs_e,Ceramide 1-phosphate exchange,Extracellular exchange,e,,extracellular
EX_crn_e,L-Carnitine exchange,Extracellular exchange,e,,extracellular
EX_crtsl_e,Cortisol Exchange,Extracellular exchange,e,,extracellular
EX_crtstrn_e,Corticosterone Exchange,Extracellular exchange,e,,extracellular
EX_crvnc_e,NC22:6 exchange,Extracellular exchange,e,,extracellular
EX_csn_e,Cytosine exchange,Extracellular exchange,e,,extracellular
EX_dheas_e,Dehydroepiandrosterone sulfate exchange,Extracellular exchange,e,,extracellular
EX_dhf_e,"7,8-Dihydrofolate exchange",Extracellular exchange,e,,extracellular
EX_digalsgalside_hs_e,Digalactosylceramidesulfate exchange,Extracellular exchange,e,,extracellular
EX_din_e,Deoxyinosine exchange,Extracellular exchange,e,,extracellular
EX_dlnlcg_e,Dihomo-gamma-linolenic acid (n-6) exchange,Extracellular exchange,e,,extracellular
EX_dmantipyrine_e,Demethylated antipyrine exchange,Extracellular exchange,e,,extracellular
EX_dmhptcrn_e,"2,6 dimethylheptanoyl carnitine exchange",Extracellular exchange,e,,extracellular
EX_dopa_e,Dopamine exchange,Extracellular exchange,e,,extracellular
EX_cspg_a_e,Chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan exchange,Extracellular exchange,e,,extracellular
EX_cspg_b_e,Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan exchange,Extracellular exchange,e,,extracellular
EX_cspg_c_e,Chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan exchange,Extracellular exchange,e,,extracellular
EX_cspg_d_e,Chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan exchange,Extracellular exchange,e,,extracellular
EX_dopasf_e,Dopamine 3-O-sulfate exchange,Extracellular exchange,e,,extracellular
EX_gq1balpha_hs_e,GQ1balpha (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_oagd3_hs_e,9-O-Acetylated GD3 (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_gsn_e,Guanosine exchange,Extracellular exchange,e,,extracellular
EX_oagt3_hs_e,9-O-Acetylated GT3 (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,Extracellular exchange,e,,extracellular
EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,Extracellular exchange,e,,extracellular
EX_octa_e,Octanoate (n-C8:0) exchange,Extracellular exchange,e,,extracellular
EX_drib_e,Deoxy D Ribose exchange,Extracellular exchange,e,,extracellular
EX_duri_e,Deoxyuridine exchange,Extracellular exchange,e,,extracellular
EX_eaflatoxin_e,"8,9 epxoy aflatoxin B1 exchange",Extracellular exchange,e,,extracellular
EX_ebastine_e,Ebastine exchange,Extracellular exchange,e,,extracellular
EX_ebastineoh_e,Hydroxylated ebastine exchange,Extracellular exchange,e,,extracellular
EX_eicostet_e,Eicosatetranoic acid exchange,Extracellular exchange,e,,extracellular
EX_oh1_e,OH1 Exchange,Extracellular exchange,e,,extracellular
EX_omeprazole_e,Omeprazole exchange,Extracellular exchange,e,,extracellular
EX_gt1a_hs_e,GT1a (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_onpthl_e,Naphthalene epoxide exchange,Extracellular exchange,e,,extracellular
EX_orn_e,Ornithine exchange,Extracellular exchange,e,,extracellular
EX_elaid_e,Elaidic acid exchange,Extracellular exchange,e,,extracellular
EX_estradiol_e,Estradiol exchange,Extracellular exchange,e,,extracellular
EX_estradiolglc_e,Estradiol glucuronide exchange,Extracellular exchange,e,,extracellular
EX_estriolglc_e,16-Glucuronide-estriol exchange,Extracellular exchange,e,,extracellular
EX_gthox_e,Oxidized glutathione exchange,Extracellular exchange,e,,extracellular
EX_estroneglc_e,Estrone glucuronide exchange,Extracellular exchange,e,,extracellular
EX_estrones_e,Estrone 3-sulfate exchange,Extracellular exchange,e,,extracellular
EX_gthrd_e,Reduced glutathione exchange,Extracellular exchange,e,,extracellular
EX_etoh_e,Ethanol exchange,Extracellular exchange,e,,extracellular
EX_fe2_e,Fe2+ exchange,Extracellular exchange,e,,extracellular
EX_oxa_e,Oxalate exchange,Extracellular exchange,e,,extracellular
EX_paf_hs_e,1-alkyl 2-acteylglycerol 3-phosphocholine (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_pchol_hs_e,Phosphatidylcholine (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_pe_hs_e,Phosphatidylethanolamine (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_peplys_e,Peptidyl-L-lysine exchange,Extracellular exchange,e,,extracellular
EX_perillyl_e,Perillyl alcohol exchange,Extracellular exchange,e,,extracellular
EX_fe3_e,Fe3+ exchange,Extracellular exchange,e,,extracellular
EX_fol_e,EX fol LPAREN e RPAREN ,Extracellular exchange,e,,extracellular
EX_for_e,Formate exchange,Extracellular exchange,e,,extracellular
EX_pglyc_hs_e,Phosphatidylglycerol (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_phe__L_e,L-Phenylalanine exchange,Extracellular exchange,e,,extracellular
EX_gtp_e,GTP exchange,Extracellular exchange,e,,extracellular
EX_pheacgln_e,Alpha-N-Phenylacetyl-L-glutamine exchange,Extracellular exchange,e,,extracellular
EX_pheme_e,Protoheme exchange,Extracellular exchange,e,,extracellular
EX_phllqne_e,EX phyQ e,Extracellular exchange,e,,extracellular
EX_fru_e,D-Fructose exchange,Extracellular exchange,e,,extracellular
EX_fuc__L_e,L-Fucose exchange,Extracellular exchange,e,,extracellular
EX_fuc13galacglcgal14acglcgalgluside_hs_e,III3Fuc-nLc6Cer exchange,Extracellular exchange,e,,extracellular
EX_fuc14galacglcgalgluside_hs_e,Lea glycolipid exchange,Extracellular exchange,e,,extracellular
EX_phyt_e,Phytanic acid exchange,Extracellular exchange,e,,extracellular
EX_gua_e,Guanine exchange,Extracellular exchange,e,,extracellular
EX_pi_e,Phosphate exchange,Extracellular exchange,e,,extracellular
EX_pnto__R_e,(R)-Pantothenate exchange,Extracellular exchange,e,,extracellular
EX_fucacgalfucgalacglcgalgluside_hs_e,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_fucacngal14acglcgalgluside_hs_e,"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer exchange",Extracellular exchange,e,,extracellular
EX_fucacngalacglcgalgluside_hs_e,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer exchange",Extracellular exchange,e,,extracellular
EX_ppa_e,Propionate exchange,Extracellular exchange,e,,extracellular
EX_prgstrn_e,Progesterone exchange,Extracellular exchange,e,,extracellular
EX_fucfuc12gal14acglcgalgluside_hs_e,Ley glycolipid exchange,Extracellular exchange,e,,extracellular
EX_pro__D_e,D-Proline exchange,Extracellular exchange,e,,extracellular
EX_h_e,H+ exchange,Extracellular exchange,e,,extracellular
EX_pro__L_e,L-Proline exchange,Extracellular exchange,e,,extracellular
EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,"V3Fuc,III3Fuc-nLc6Cer exchange",Extracellular exchange,e,,extracellular
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_prostgd2_e,Prostaglandin D2 exchange,Extracellular exchange,e,,extracellular
EX_h2o_e,H2O exchange,Extracellular exchange,e,,extracellular
EX_prostge1_e,Prostaglandin E1 exchange,Extracellular exchange,e,,extracellular
EX_prostge2_e,Prostaglandin E2 exchange,Extracellular exchange,e,,extracellular
EX_prostgf2_e,Prostaglandin F2alpha exchange,Extracellular exchange,e,,extracellular
EX_ps_hs_e,Phosphatidylserine (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_ptdca_e,Pentadecanoate exchange,Extracellular exchange,e,,extracellular
EX_pydam_e,Pyridoxamine exchange,Extracellular exchange,e,,extracellular
EX_fucfucgalacglcgalgluside_hs_e,Leb glycolipid exchange,Extracellular exchange,e,,extracellular
EX_fucgal14acglcgalgluside_hs_e,Lacto-N-fucopentaosyl III ceramide exchange,Extracellular exchange,e,,extracellular
EX_fucgalfucgalacglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_fucgalgbside_hs_e,Fucosyl galactosylgloboside (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_gal_e,D-Galactose exchange,Extracellular exchange,e,,extracellular
EX_galacglcgalgbside_hs_e,Gal-GlcNAc-Gal globoside (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_galfuc12gal14acglcgalgluside_hs_e,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_galfucgalacglcgal14acglcgalgluside_hs_e,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_pydx_e,Pyridoxal exchange,Extracellular exchange,e,,extracellular
EX_pydxn_e,Pyridoxine exchange,Extracellular exchange,e,,extracellular
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 exchange,Extracellular exchange,e,,extracellular
EX_h2o2_e,Hydrogen peroxide exchange,Extracellular exchange,e,,extracellular
EX_galgalgalthcrm_hs_e,Gal-Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_gam_e,D-Glucosamine exchange,Extracellular exchange,e,,extracellular
EX_ha_e,Hyaluronan exchange,Extracellular exchange,e,,extracellular
EX_gbside_hs_e,Globoside (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_gchola_e,Glycocholate exchange,Extracellular exchange,e,,extracellular
EX_gd1b2_hs_e,GD1beta (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_pyr_e,Pyruvate exchange,Extracellular exchange,e,,extracellular
EX_rbt_e,Ribitol exchange,Extracellular exchange,e,,extracellular
EX_retfa_e,Fatty acid retinol exchange,Extracellular exchange,e,,extracellular
EX_gd1c_hs_e,GD1c (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_ha_pre1_e,"Hyaluronan biosynthesis, precursor 1 exchange",Extracellular exchange,e,,extracellular
EX_gdchola_e,Glycochenodeoxycholate exchange,Extracellular exchange,e,,extracellular
EX_gdp_e,GDP exchange,Extracellular exchange,e,,extracellular
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,e,,extracellular
EX_gln__L_e,L-Glutamine exchange,Extracellular exchange,e,,extracellular
EX_retinol_e,Retinol exchange,Extracellular exchange,e,,extracellular
EX_retinol_9_cis_e,9-cis-retinol exchange,Extracellular exchange,e,,extracellular
EX_retinol_cis_11_e,Cis-11-retinol exchange,Extracellular exchange,e,,extracellular
EX_retn_e,Retinoate exchange,Extracellular exchange,e,,extracellular
EX_retnglc_e,Retinoyl glucuronide exchange,Extracellular exchange,e,,extracellular
EX_retpalm_SPACE_deleted_SPACE_10_09_2005_SPACE_SPACE_06_COLON_18_COLON_49_SPACE_PM_e,EX retpalm,Extracellular exchange,e,,extracellular
EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,e,,extracellular
EX_gluala_e,5-L-Glutamyl-L-alanine exchange,Extracellular exchange,e,,extracellular
EX_gly_e,Glycine exchange,Extracellular exchange,e,,extracellular
EX_glyb_e,Glycine betaine exchange,Extracellular exchange,e,,extracellular
EX_rib__D_e,D-Ribose exchange,Extracellular exchange,e,,extracellular
