query,entrez,name,symbol,alias,taxid,MGI
59031,59031,carbohydrate sulfotransferase 12,Chst12,"C4S-2, C4ST2",10090,MGI:1929064
71797,71797,carbohydrate sulfotransferase 13,Chst13,"1110067M19Rik, C4ST-3",10090,MGI:1919047
72136,72136,carbohydrate sulfotransferase 14,Chst14,"2600016L03Rik, D4ST-1, D4st1",10090,MGI:1919386
54371,54371,carbohydrate sulfotransferase 2,Chst2,"C130041E03Rik, Chts2, GST-2, GlcNAc6ST, Gn6st",10090,MGI:1891160
53374,53374,carbohydrate sulfotransferase 3,Chst3,"C6ST, C6ST-1, GST-0",10090,MGI:1858224
26887,26887,carbohydrate sulfotransferase 4,Chst4,"GST-3, Gn6st-2, HEC-GlcNAc6ST",10090,MGI:1349479
56773,56773,carbohydrate sulfotransferase 5,Chst5,"GST-4, Gn6st-3, I-GlcNAc-6-ST",10090,MGI:1931825
60322,60322,carbohydrate sulfotransferase 7,Chst7,"2600013M07Rik, C6ST-2, GST5, Gn6st-4, glcNAc6ST-4",10090,MGI:1891767
269941,269941,chondroitin sulfate synthase 1,Chsy1,skt,10090,MGI:2681120
78923,78923,chondroitin sulfate synthase 3,Chsy3,4833446K15Rik,10090,MGI:1926173
12709,12709,"creatine kinase, brain",Ckb,"B-CK, Bck, CPK-B, Ck-3, Ck3",10090,MGI:88407
12715,12715,"creatine kinase, muscle",Ckm,"CPK-M, Ckmm, M-CK, MCK",10090,MGI:88413
76722,76722,"creatine kinase, mitochondrial 2",Ckmt2,"2300008A19Rik, S-MtCK, ScCKmit, mib-CK",10090,MGI:1923972
69634,69634,citrate lyase beta like,Clybl,"0610033J05Rik, 2310014M14Rik, Clb",10090,MGI:1916884
12764,12764,cytidine monophospho-N-acetylneuraminic acid synthetase,Cmas,"CMPNeu5Ac, D6Bwg0250e",10090,MGI:1337124
66588,66588,cytidine/uridine monophosphate kinase 1,Cmpk1,"0610011D08Rik, CK, Cmpk, UMP-CMPk",10090,MGI:1913838
338403,338403,carnosine dipeptidase 1,Cndp1,Cn1,10090,MGI:2451097
71743,71743,Coenzyme A synthase,Coasy,"1300003G02Rik, Dpck, Ppat, Ukr1",10090,MGI:1918993
12846,12846,catechol-O-methyltransferase,Comt,"Comt1, D16Wsu103e, D330014B15Rik",10090,MGI:88470
69156,69156,catechol-O-methyltransferase domain containing 1,Comtd1,"1810030M08Rik, MT773",10090,MGI:1916406
71883,71883,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase,Coq2,"2310002F18Rik, PHB:PPT",10090,MGI:1919133
230027,230027,coenzyme Q3 methyltransferase,Coq3,4732433J24,10090,MGI:101813
217707,217707,coenzyme Q6 monooxygenase,Coq6,5930427M12Rik,10090,MGI:1924408
12850,12850,demethyl-Q 7,Coq7,clk-1,10090,MGI:107207
12892,12892,coproporphyrinogen oxidase,Cpox,"CPX, Cpo, HCP, M100835, Rgsc835",10090,MGI:104841
227231,227231,carbamoyl-phosphate synthetase 1,Cps1,"4732433M03Rik, CPS, D1Ucla3",10090,MGI:891996
12894,12894,"carnitine palmitoyltransferase 1a, liver",Cpt1a,"C730027G07, CPTI, Cpt1",10090,MGI:1098296
12895,12895,"carnitine palmitoyltransferase 1b, muscle",Cpt1b,"Cpt1, Cpt1-m, Cpti, Cpti-m, M-cpti",10090,MGI:1098297
78070,78070,carnitine palmitoyltransferase 1c,Cpt1c,"6530437J22Rik, 9630004I06Rik, CPT I-C, CPT IC, CPT1-B",10090,MGI:2446526
12896,12896,carnitine palmitoyltransferase 2,Cpt2,CPTII,10090,MGI:109176
12908,12908,carnitine acetyltransferase,Crat,CARAT,10090,MGI:109501
66586,66586,cardiolipin synthase 1,Crls1,"0610009I22Rik, 4930557M15Rik, 5730490M08Rik",10090,MGI:1913836
74114,74114,carnitine O-octanoyltransferase,Crot,1200003H03Rik,10090,MGI:1921364
12974,12974,citrate synthase,Cs,"2610511A05Rik, 9030605P22Rik, Ahl4, Cis",10090,MGI:88529
246277,246277,cysteine sulfinic acid decarboxylase,Csad,Csd,10090,MGI:2180098
234356,234356,chondroitin sulfate N-acetylgalactosaminyltransferase 1,Csgalnact1,"4732435N03Rik, CSGalNAcT-1",10090,MGI:2442354
78752,78752,chondroitin sulfate N-acetylgalactosaminyltransferase 2,Csgalnact2,"4632415D10Rik, Galnact2",10090,MGI:1926002
107869,107869,cystathionine gamma lyase,Cth,"0610010I13Rik, CGL, CSE, Cys3",10090,MGI:1339968
51797,51797,cytidine 5'-triphosphate synthase 1,Ctps1,Ctps,10090,MGI:1858304
55936,55936,cytidine 5'-triphosphate synthase 2,Ctps2,"A830031M15Rik, Ctpsh",10090,MGI:1933185
19025,19025,cathepsin A,Ctsa,"PPCA, Ppgb",10090,MGI:97748
73649,73649,cytochrome b reductase 1,Cybrd1,"2210407P13Rik, Dcytb",10090,MGI:2654575
66445,66445,cytochrome c-1,Cyc1,"2610002H19Rik, Cyct1",10090,MGI:1913695
13070,13070,"cytochrome P450, family 11, subfamily a, polypeptide 1",Cyp11a1,"Cyp11a, Cypxia1, D9Ertd411e, P450scc, Scc",10090,MGI:88582
110115,110115,"cytochrome P450, family 11, subfamily b, polypeptide 1",Cyp11b1,"CPN1, Cyp11b, Cyp11b-1, FHI",10090,MGI:88583
13072,13072,"cytochrome P450, family 11, subfamily b, polypeptide 2",Cyp11b2,"ALDOS, Cpn2, Cyp11b, Cyp11b-2",10090,MGI:88584
13074,13074,"cytochrome P450, family 17, subfamily a, polypeptide 1",Cyp17a1,"Cyp17, p450c17",10090,MGI:88586
13075,13075,"cytochrome P450, family 19, subfamily a, polypeptide 1",Cyp19a1,"Ar, ArKO, Cyp19, Int-5, Int5",10090,MGI:88587
13076,13076,"cytochrome P450, family 1, subfamily a, polypeptide 1",Cyp1a1,"AHH, AHRR, CP11, CYPIA1, P450-1",10090,MGI:88588
13077,13077,"cytochrome P450, family 1, subfamily a, polypeptide 2",Cyp1a2,"CP12, CYPIA2, P450-3",10090,MGI:88589
13078,13078,"cytochrome P450, family 1, subfamily b, polypeptide 1",Cyp1b1,"CP1B, CYPIB1, P4501b1",10090,MGI:88590
13079,13079,"cytochrome P450, family 21, subfamily a, polypeptide 1",Cyp21a1,"21-OH, 21OH, 21OHA, 21OHB, CYP21OH-A",10090,MGI:88591
13081,13081,"cytochrome P450, family 24, subfamily a, polypeptide 1",Cyp24a1,"24-OHase, CP24, Cyp24",10090,MGI:88593
104086,104086,"cytochrome P450, family 27, subfamily a, polypeptide 1",Cyp27a1,"1300013A03Rik, Cyp27",10090,MGI:88594
13115,13115,"cytochrome P450, family 27, subfamily b, polypeptide 1",Cyp27b1,"Cp2b, Cyp1, Cyp27b, Cyp40, P450c1",10090,MGI:1098274
404195,404195,"cytochrome P450, family 2, subfamily c, polypeptide 54",Cyp2c54,EG404195,10090,MGI:3642960
72082,72082,"cytochrome P450, family 2, subfamily c, polypeptide 55",Cyp2c55,"2010318C06Rik, CYPIIC55",10090,MGI:1919332
69888,69888,"cytochrome P450, family 2, subfamily c, polypeptide 66",Cyp2c66,2010301M18Rik,10090,MGI:1917138
56448,56448,"cytochrome P450, family 2, subfamily d, polypeptide 22",Cyp2d22,2D22,10090,MGI:1929474
13106,13106,"cytochrome P450, family 2, subfamily e, polypeptide 1",Cyp2e1,"CYPIIE1, Cyp2e",10090,MGI:88607
13107,13107,"cytochrome P450, family 2, subfamily f, polypeptide 2",Cyp2f2,Cyp2f,10090,MGI:88608
56050,56050,"cytochrome P450, family 39, subfamily a, polypeptide 1",Cyp39a1,mCYP39A1,10090,MGI:1927096
13113,13113,"cytochrome P450, family 3, subfamily a, polypeptide 13",Cyp3a13,IIIAm2,10090,MGI:88610
56388,56388,"cytochrome P450, family 3, subfamily a, polypeptide 25",Cyp3a25,,10090,MGI:1930638
100041375,100041375,"cytochrome P450, family 3, subfamily a, polypeptide 41B",Cyp3a41b,,10090,MGI:3714859
13116,13116,"cytochrome P450, family 46, subfamily a, polypeptide 1",Cyp46a1,"CH24H, Cyp46",10090,MGI:1341877
13117,13117,"cytochrome P450, family 4, subfamily a, polypeptide 10",Cyp4a10,"Cyp4a, D4Rp1, Msp-3, RP1",10090,MGI:88611
64385,64385,"cytochrome P450, family 4, subfamily f, polypeptide 14",Cyp4f14,"1300014O15Rik, cyp4f-14",10090,MGI:1927669
106648,106648,"cytochrome P450, family 4, subfamily f, polypeptide 15",Cyp4f15,Cyp4f-15,10090,MGI:2146921
208285,208285,"cytochrome P450, family 4, subfamily f, polypeptide 17",Cyp4f17,EG208285,10090,MGI:3646233
72054,72054,"cytochrome P450, family 4, subfamily f, polypeptide 18",Cyp4f18,"1810054N16Rik, CYPIVF3, Cyp4f3, Cypf18",10090,MGI:1919304
13121,13121,"cytochrome P450, family 51",Cyp51,"CYPLI, Cyp51a1, Ldm, P450-14DM, P450LI",10090,MGI:106040
13122,13122,"cytochrome P450, family 7, subfamily a, polypeptide 1",Cyp7a1,"CYPVII, CYPVIIc",10090,MGI:106091
