ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,KD,SCD,0.16372754961883973,0.10868598328288241,0.05504156633595732,259.0,0.3524389447598575,1.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,KD,WD,0.16372754961883973,0.14694666603131512,0.01678088358752461,74.5,0.9046027801472997,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,SCD,WD,0.0,0.0,0.0,222.0,1.0,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,HFD,WD,0.0,0.0,0.0,228.0,1.0,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,SCD,WD,0.022997929377735437,0.0,0.022997929377735437,276.0,0.06551388927426358,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,HFD,SCD,0.005477628441220098,0.022997929377735437,-0.01752030093651534,635.0,0.30587727607577486,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,HFD,KD,0.005477628441220098,0.007702647846847454,-0.0022250194056273563,225.0,0.9291038460592859,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,HFD,WD,0.005477628441220098,0.0,0.005477628441220098,264.0,0.1531070665754669,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,KD,SCD,0.007702647846847454,0.022997929377735437,-0.015295281530887984,203.0,0.5560322850693845,1.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,KD,WD,0.007702647846847454,0.0,0.007702647846847454,84.0,0.16622459112835397,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,SCD,WD,0.0,0.0,0.0,222.0,1.0,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,HFD,WD,0.0,0.0,0.0,228.0,1.0,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,SCD,WD,0.0,0.014975536166490062,-0.014975536166490062,185.0,0.013319664612873596,0.44981030526495785
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,HFD,WD,0.0,0.014975536166490062,-0.014975536166490062,190.0,0.012117223438763182,0.4295714242580619
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,KD,WD,0.0,0.014975536166490062,-0.014975536166490062,60.0,0.16622459112835397,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,SCD,WD,0.0,0.0,0.0,222.0,1.0,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,HFD,WD,0.0,0.0,0.0,228.0,1.0,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,SCD,WD,0.0,0.0,0.0,222.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,HFD,WD,0.0,0.0,0.0,228.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
EX_acetone_e,Acetone exchange,Extracellular exchange,SCD,WD,0.057592634352806926,0.0,0.057592634352806926,258.0,0.14723492239299868,1.0
EX_acetone_e,Acetone exchange,Extracellular exchange,HFD,SCD,0.058547100488400325,0.057592634352806926,0.0009544661355933987,670.0,0.5599417755990995,1.0
EX_acetone_e,Acetone exchange,Extracellular exchange,HFD,KD,0.058547100488400325,0.06110233407902029,-0.0025552335906199666,231.0,0.9131433159090814,1.0
EX_acetone_e,Acetone exchange,Extracellular exchange,HFD,WD,0.058547100488400325,0.0,0.058547100488400325,252.0,0.25655364261018,1.0
EX_acetone_e,Acetone exchange,Extracellular exchange,KD,SCD,0.06110233407902029,0.057592634352806926,0.0035096997262133653,207.5,0.5927537480576375,1.0
