ReactionID,ReactionName,Subsystem,WD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,WD_n,SCD_n,q_value,Significant,Direction
DNDPt31m,DCDP transport via ATP antiport,"Transport, Mitochondrial",0.0005351595798503,0.0007008516780572839,-0.00016569209820698383,-0.3891399392487543,-0.9169641506456077,0.36526381379401374,-0.1722460112069122,12,37,1.0,False,Down
UREAtm,Urea transport via diffusion,Urea cycle/amino group metabolism,-0.0059024364256617,-0.009440420244974001,0.003537983819312301,-0.67754049499385,0.9120029816401642,0.3678342276081564,0.17131408647298524,12,37,1.0,False,Up
ARGNm,Arginase (m),Urea cycle/amino group metabolism,0.0059024364256617,0.009440420244974001,-0.003537983819312301,-0.6775404766733328,-0.9120029816401642,0.3678342276081564,-0.17131408647298524,12,37,1.0,False,Down
ARGtm,Arginine mitochondrial transport via ornithine carrier,"Transport, Mitochondrial",0.0059024364256617,0.009440420244974001,-0.003537983819312301,-0.6775404766733328,-0.9120029816401642,0.3678342276081564,-0.17131408647298524,12,37,1.0,False,Down
EX_csn_e,Cytosine exchange,Extracellular exchange,-0.003494376162455399,-0.007753312318565384,0.004258936156109986,-1.1497778835570818,0.9080179769127218,0.3699073651673772,0.17056552812590106,12,37,1.0,False,Up
CSNt,Cytosine transport via facilated diffusion,"Transport, Extracellular",0.003494376162455399,0.007753312318565384,-0.004258936156109986,-1.149777838199621,-0.9080179769127218,0.3699073651673772,-0.17056552812590106,12,37,1.0,False,Down
CSND,Cytosine deaminase,Pyrimidine Catabolism,0.003494376162455399,0.007753312318565384,-0.004258936156109986,-1.149777838199621,-0.9080179769127218,0.3699073651673772,-0.17056552812590106,12,37,1.0,False,Down
RDH3a,"Retinol dehydrogenase (11-cis,NADPH)",Vitamin A Metabolism,-0.011820572100755202,-0.005910741386772598,-0.005909830713982604,0.9998888693159037,-0.9076014778818172,0.37012447831522655,-0.17048729137401242,12,37,1.0,False,Down
DNDPt28m,DCDP transport via dGDP antiport,"Transport, Mitochondrial",0.0004080646945517332,0.0005836995930742806,-0.00017563489852254736,-0.5164280609517916,-0.826371402593649,0.41286373145101884,-0.16869153319019678,12,37,1.0,False,Down
CYTK9,"Cytidylate kinase (CMP,dCTP)",Nucleotides,-0.017852251775128346,-0.005205197926144817,-0.01264705384898353,1.778081150457048,-0.8745489281241527,0.38758037224533337,-0.1645139543190291,12,37,1.0,False,Down
SO4t4_3,Sulfate transport via sodium symport,"Transport, Extracellular",0.0020869466741843005,-0.0009063605964065732,0.0029933072705908737,,0.8704993100964891,0.38979542483583196,0.16351787997046643,12,37,1.0,False,Up
KCC2t,K+-Cl- cotransporter (NH4+),"Transport, Extracellular",-0.1152817045525902,-0.16535244197135038,0.05007073741876018,-0.5203807797531027,0.4326720390229321,0.6711636634742508,0.16294976609316,12,37,1.0,False,Up
PSP_L,Phosphoserine phosphatase (L-serine),"Glycine, Serine, and Threonine Metabolism",-0.0043377834411764,-0.0024795011768444643,-0.0018582822643319354,0.8069081447547971,-0.8660970307323703,0.39217267970640846,-0.16269093917877459,12,37,1.0,False,Down
PGCD,Phosphoglycerate dehydrogenase,"Glycine, Serine, and Threonine Metabolism",-0.0043377834411764,-0.0024795011768444643,-0.0018582822643319354,0.8069081447547971,-0.8660970307323703,0.39217267970640846,-0.16269093917877459,12,37,1.0,False,Down
PSERT,Phosphoserine transaminase,"Glycine, Serine, and Threonine Metabolism",-0.0043377834411764,-0.0024795011768444643,-0.0018582822643319354,0.8069081447547971,-0.8660970307323703,0.39217267970640846,-0.16269093917877459,12,37,1.0,False,Down
MTHGXLt,Methylglyoxal transport (cytosol to extracellular),"Transport, Extracellular",0.011827276259995625,0.006200420139602246,0.005626856120393379,0.931679977420201,0.6217124926190705,0.5386455771909007,0.16227976017268878,12,37,1.0,False,Up
EX_mthgxl_e,Methylglyoxal exchange,Extracellular exchange,0.011827276259995625,0.006200420139602246,0.005626856120393379,0.931679977420201,0.6217124926190705,0.5386455771909007,0.16227976017268878,12,37,1.0,False,Up
CYTK3,Cytidylate kinase (CMP)(GTP),Nucleotides,-0.001200466699904375,-0.011610580871840453,0.010410114171936078,-3.2737729692102806,0.8635892148280108,0.39352328329415165,0.16226959933514293,12,37,1.0,False,Up
GTHPi,Glutathione peridoxase,Glutathione Metabolism,0.16119873840753995,0.12808743143099924,0.033111306976540716,0.33171153440099094,0.5775143517301553,0.5684145585015649,0.16032504329858718,12,37,1.0,False,Up
EX_o2s_e,Superoxide anion exchange,Extracellular exchange,0.6687258829528666,0.585909496273077,0.08281638667978963,0.19073712473064183,0.40997899086842343,0.6876222763324382,0.16001352257716556,12,37,1.0,False,Up
APAT2rm,3-Aminopropanoate:2-oxoglutarate aminotransferase (m),beta-Alanine metabolism,0.022054409977752296,0.012596603126158151,0.009457806851594145,0.8080324190041195,0.8500920658612849,0.40089242106695655,0.15968450609563795,12,37,1.0,False,Up
MMSAD3m,Methylmalonate-semialdehyde dehydrogenase (acylating),Propanoate Metabolism,0.022054409977752296,0.012596603126158151,0.009457806851594145,0.8080324190041195,0.8500920658612849,0.40089242106695655,0.15968450609563795,12,37,1.0,False,Up
BALAtmr,"Beta-alanine transport, mitochondria","Transport, Mitochondrial",0.022054409977752296,0.012596603126158151,0.009457806851594145,0.8080324190041195,0.8500920658612849,0.40089242106695655,0.15968450609563795,12,37,1.0,False,Up
URAt,Uracil transport via facilated diffusion,"Transport, Extracellular",0.022140400678244118,0.017070648654003342,0.005069752024240776,0.3751634498662592,0.8479311017293414,0.402077413759936,0.159288678286516,12,37,1.0,False,Up
EX_ura_e,Uracil exchange,Extracellular exchange,-0.022140400678244118,-0.017070648654003342,-0.005069752024240776,0.37516345373665844,-0.8479311017293414,0.402077413759936,-0.159288678286516,12,37,1.0,False,Down
EX_succ_e,Succinate exchange,Extracellular exchange,0.12553637022620096,0.09664648258864914,0.02888988763755182,0.3773162678575502,0.4104778542953274,0.6872071510948559,0.1588152334586957,12,37,1.0,False,Up
SUCCtm,Succinate transport  mitochondrial,"Transport, Mitochondrial",-0.12553637022620096,-0.09664648258864914,-0.02888988763755182,0.3773162685446098,-0.4104778542953274,0.6872071510948559,-0.1588152334586957,12,37,1.0,False,Down
O2Stm,Superoxide anion transport via diffusion (mitochondria),"Transport, Mitochondrial",-0.7697719865520529,-0.8495000938480026,0.0797281072959497,-0.1421829370852901,0.42440426525816655,0.6769930737527217,0.15844479705895828,12,37,1.0,False,Up
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,0.0019619425060446,0.007241365105864842,-0.005279422599820242,-1.883978874411464,-0.8367544516027094,0.4082509121380101,-0.1571791182313048,12,37,1.0,False,Down
BUP2,Beta-ureidopropionase (D-3-amino-isobutanoate forming),Pyrimidine Catabolism,0.0019619425060446,0.007241365105864842,-0.005279422599820242,-1.883978874411464,-0.8367544516027094,0.4082509121380101,-0.1571791182313048,12,37,1.0,False,Down
DURAD2,Dihydrothymin dehydrogenase (NADP),Pyrimidine Catabolism,-0.0019619425060446,-0.007241365105864842,0.005279422599820242,-1.8839789816335475,0.8367544516027094,0.4082509121380101,0.1571791182313048,12,37,1.0,False,Up
D_3AIBt,D-3-amino-isobutyrate transport,"Transport, Extracellular",0.0019619425060446,0.007241365105864842,-0.005279422599820242,-1.883978874411464,-0.8367544516027094,0.4082509121380101,-0.1571791182313048,12,37,1.0,False,Down
DHPM2,Dihydropyrimidinase (dihydrothymine),Pyrimidine Catabolism,0.0019619425060446,0.007241365105864842,-0.005279422599820242,-1.883978874411464,-0.8367544516027094,0.4082509121380101,-0.1571791182313048,12,37,1.0,False,Down
GTHOr,Glutathione oxidoreductase,Glutamate metabolism,0.1613064197600574,0.12962275910237758,0.03168366065767983,0.31548480840243776,0.5541549691349961,0.5841055641037245,0.15435145395062153,12,37,1.0,False,Up
EX_hco3_e,EX hco3 LPAREN e RPAREN ,Extracellular exchange,0.2973862028624941,0.24651283402831997,0.05087336883417415,0.2706749568698976,0.46931354937776626,0.6439325729283985,0.1500664950268774,12,37,1.0,False,Up
H2CO3D,Carboxylic acid dissociation,Miscellaneous,0.2973862028624941,0.24651283402832003,0.05087336883417409,0.27067495686989734,0.46931354937776576,0.6439325729283989,0.15006649502687722,12,37,1.0,False,Up
H2CO3D2,Carboxylic acid dissociation,Miscellaneous,-0.2973862028624941,-0.24651283402832003,-0.05087336883417409,0.27067495707012995,-0.46931354937776576,0.6439325729283989,-0.15006649502687722,12,37,1.0,False,Down
