ReactionID,ReactionName,Subsystem,HFD_mean,KD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,KD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),Nucleotides,0.03011996538856857,0.011111744044344042,0.01900822134422453,1.4386348312167798,3.844469936277996,0.0007653151315065381,1.1003161200925373,38,12,0.10561348814790225,False,Up,27.0,0.007246376811594203,0.007246376811594203,0.0007653151315065381
ASPTA,Aspartate transaminase,Alanine and Aspartate Metabolism,-0.08732703094649903,0.03929401440981704,-0.12662104535631608,,-4.177032419260156,0.00022887447483806777,-1.0878660331531873,38,12,0.049659002874481335,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,0.00022887447483806777
ADK1,Adenylate kinase,Nucleotides,-0.35293169229035537,-0.16789233079620555,-0.18503936149414982,1.071852655928242,-3.2659670119043147,0.004201870337102444,-1.0857586959081413,38,12,0.2686110647531489,False,Down,56.0,0.015029522275899088,0.015029522275899088,0.004201870337102444
ETFQO,Electron transfer flavoprotein-ubiquinone oxidoreductase,Fatty acid oxidation,0.0017544758686979865,0.08032618218651759,-0.07857170631781961,-5.516758218067678,-1.9984503561713143,0.06973413226996202,-1.082649148956397,38,12,1.0,False,Down,241.0,0.06468062265163714,0.06468062265163714,0.06973413226996202
ETF,Electron transfer flavoprotein,Fatty acid oxidation,0.0017544758686979865,0.08032618218651759,-0.07857170631781961,-5.516758218067678,-1.9984503561713143,0.06973413226996202,-1.082649148956397,38,12,1.0,False,Down,241.0,0.06468062265163714,0.06468062265163714,0.06973413226996202
CYSt4,L-cysteine reversible transport via sodium symport,"Transport, Extracellular",0.003216209960354759,-0.018347748739225418,0.021563958699580176,,2.9729504736312213,0.008817652016756682,1.0729769734034829,38,12,0.3365038982294449,False,Up,79.0,0.021202361782071927,0.021202361782071927,0.008817652016756682
NKCCt,Na+-K+-Cl- cotransport,"Transport, Extracellular",0.001712011893625739,-0.009895836002621542,0.01160784789624728,,2.9685638536280874,0.008912013646183116,1.0728226347033942,38,12,0.3365038982294449,False,Up,80.0,0.02147074610842727,0.02147074610842727,0.008912013646183116
HMGCOAS,Hydroxymethylglutaryl CoA synthase,Cholesterol Metabolism,-2.2375823177262816e-05,0.00013302501797925,-0.0001554008411565128,,-2.958479710344646,0.009121549576254984,-1.071282465967855,38,12,0.3365038982294449,False,Down,82.0,0.02200751476113795,0.02200751476113795,0.009121549576254984
MANt4,D-mannose transport via sodium cotransport,"Transport, Extracellular",-0.0004446197781367102,0.002643279467845667,-0.003087899245982377,,-2.9584797103444016,0.00912154957625992,-1.0712824659677957,38,12,0.3365038982294449,False,Down,83.0,0.02227589908749329,0.02227589908749329,0.00912154957625992
MAGt,Monoacylglycerol 2 Transport,"Transport, Extracellular",0.0022075476432752757,-0.013123944652697249,0.015331492295972525,,2.958479710344395,0.009121549576260057,1.0712824659677942,38,12,0.3365038982294449,False,Up,84.0,0.02254428341384863,0.02254428341384863,0.009121549576260057
RTOTALt,RTOTAL transport,"Transport, Extracellular",0.0022075476432752757,-0.013123944652697249,0.015331492295972525,,2.958479710344395,0.009121549576260057,1.0712824659677942,38,12,0.3365038982294449,False,Up,84.0,0.02254428341384863,0.02254428341384863,0.009121549576260057
DAGt,Diacylglycerol Transport,"Transport, Extracellular",-0.0022075476432752757,0.013123944652697249,-0.015331492295972525,,-2.958479710344395,0.009121549576260057,-1.0712824659677942,38,12,0.3365038982294449,False,Down,84.0,0.02254428341384863,0.02254428341384863,0.009121549576260057
LPS2e,"Lipase, extracellular",Fatty Acid Metabolism,0.0022075476432752757,-0.013123944652697249,0.015331492295972525,,2.958479710344395,0.009121549576260057,1.0712824659677942,38,12,0.3365038982294449,False,Up,84.0,0.02254428341384863,0.02254428341384863,0.009121549576260057
ASCBt4,L-ascorbate transport via proton symport,"Transport, Extracellular",-0.00316351558918743,0.018807206099000415,-0.021970721688187846,,-2.958479710344395,0.009121549576260058,-1.0712824659677942,38,12,0.3365038982294449,False,Down,88.0,0.023617820719269995,0.023617820719269995,0.009121549576260058
RAHY,Retinoic acid hydroxylation (P450),Vitamin A Metabolism,0.0002223098890683341,-0.0013216397339228334,0.0015439496229911675,,2.9584797103443656,0.009121549576260638,1.071282465967787,38,12,0.3365038982294449,False,Up,89.0,0.023886205045625334,0.023886205045625334,0.009121549576260638
HRETNtn,"4-hydroxyretinoic acid transport, Nuclear","Transport, Nuclear",0.0002223098890683341,-0.0013216397339228334,0.0015439496229911675,,2.9584797103443656,0.009121549576260638,1.071282465967787,38,12,0.3365038982294449,False,Up,89.0,0.023886205045625334,0.023886205045625334,0.009121549576260638
DM_hretn_n,4 hydroxy retinoic acid demand,Intracellular demand,0.0002223098890683341,-0.0013216397339228334,0.0015439496229911675,,2.9584797103443656,0.009121549576260638,1.071282465967787,38,12,0.3365038982294449,False,Up,89.0,0.023886205045625334,0.023886205045625334,0.009121549576260638
CRNtim,L carnitine transport out of mitochondria via diffusion,"Transport, Mitochondrial",0.00010077599831873159,-0.0005991166842012917,0.0006998926825200233,,2.9584797103443625,0.009121549576260709,1.0712824659677866,38,12,0.3365038982294449,False,Up,92.0,0.024691358024691357,0.024691358024691357,0.009121549576260709
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,"Transport, Mitochondrial",6.534564796055521e-05,-0.0003884820650380417,0.00045382771299859687,,2.9584797103441827,0.009121549576264331,1.0712824659677422,38,12,0.3365038982294449,False,Up,93.0,0.0249597423510467,0.0249597423510467,0.009121549576264331
CSNATm,Carnitine O aceyltransferase  mitochondrial,Fatty Acid Metabolism,6.534564796055521e-05,-0.0003884820650380417,0.00045382771299859687,,2.9584797103441827,0.009121549576264331,1.0712824659677422,38,12,0.3365038982294449,False,Up,93.0,0.0249597423510467,0.0249597423510467,0.009121549576264331
FAOXC200180m,Beta oxidation of long chain fatty acid,Fatty acid oxidation,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
ARACHCPT1,Carnitine transferase,Carnitine shuttle,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
FAOXC16080m,Beta oxidation of long chain fatty acid,Fatty acid oxidation,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
ARACHCPT2,Carnitine transferase,Carnitine shuttle,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
FAOXC180,Beta oxidation of long chain fatty acid,Fatty acid oxidation,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
FAOXC80,Beta oxidation of med/long chain fatty acid,Fatty acid oxidation,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
