ReactionID,ReactionName,Subsystem,KD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,0.00024613136653210834,0.00028940203738093246,-4.327067084882412e-05,-0.2336464668572636,-4.784193898431563,0.0001542278383532364,-1.6428243525697286,12,37,0.006246227453417287,True,Down,66.0,0.017713365539452495,0.017713365539452495,0.0001542278383532364
SQLSr,Squalene synthase,Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-0.0011075911493947084,-0.0013023091682145078,0.00019471801881979943,-0.2336465739721674,4.7841938984306935,0.00015422783835342252,1.6428243525691515,12,37,0.006246227453417287,True,Up,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
