ReactionID,ReactionName,Subsystem,HFD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
EX_for_e,Formate exchange,Extracellular exchange,0.0056126400024378185,0.0014135128784640214,0.004199127123973797,1.9893944231486547,2.620994422760555,0.0118437205524923,0.5989573390595466,38,37,0.2847077598618472,False,Up,155.0,0.04159957058507783,0.04159957058507783,0.0118437205524923
CLFORtex,Chloride transport via formate countertransport,"Transport, Extracellular",0.0027999199285982323,0.0007023691886723027,0.0020975507399259297,1.9950839524078798,2.618228532481839,0.011928062333930957,0.5983234532641231,38,37,0.2848971811296586,False,Up,156.0,0.04186795491143317,0.04186795491143317,0.011928062333930957
PSSA1_hs,Phosphatidylserine synthase homo sapiens,Glycerophospholipid Metabolism,0.0015998307610563896,0.0022784550418045784,-0.0006786242807481889,-0.5101365799753766,-2.5964174502378623,0.012972810905724982,-0.5925180897819825,38,37,0.3078770282466961,False,Down,157.0,0.04213633923778851,0.04213633923778851,0.012972810905724982
NCCt,Na+-Cl- cotransport,"Transport, Extracellular",0.08462032566296836,-0.1125691128595252,0.19718943852249354,,2.5755881136909675,0.013185262327052198,0.5888228230541046,38,37,0.31093852804174993,False,Up,158.0,0.042404723564143855,0.042404723564143855,0.013185262327052198
EX_gly_e,Glycine exchange,Extracellular exchange,0.5611417915152213,0.7559186179719479,-0.19477682645672667,-0.42986555976013147,-2.531751507038799,0.013545999375554245,-0.5856409584485235,38,37,0.31743643819695044,False,Down,159.0,0.0426731078904992,0.0426731078904992,0.013545999375554245
FACOAL180,Fatty acid  CoA ligase  octadecanoate ,Fatty acid activation,0.07884477073380096,0.19908462377687047,-0.12023985304306951,-1.3362948196437976,-2.5226741665979064,0.014082312279135617,-0.5850970087047194,38,37,0.32121026640200195,False,Down,162.0,0.043478260869565216,0.043478260869565216,0.014082312279135617
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,Extracellular exchange,-0.07884477073380096,-0.19908462377687047,0.12023985304306951,-1.3362948218540522,2.5226741665979064,0.014082312279135617,0.5850970087047194,38,37,0.32121026640200195,False,Up,162.0,0.043478260869565216,0.043478260869565216,0.014082312279135617
EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,-0.040746939632593016,-0.1431040243629116,0.1023570847303186,-1.8123006340634773,2.523785081384149,0.013942244737668856,0.5847697036949618,38,37,0.32121026640200195,False,Up,160.0,0.04294149221685454,0.04294149221685454,0.013942244737668856
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",0.040746939632593016,0.1431040243629116,-0.1023570847303186,-1.8123006289985224,-2.523785081384149,0.013942244737668856,-0.5847697036949618,38,37,0.32121026640200195,False,Down,160.0,0.04294149221685454,0.04294149221685454,0.013942244737668856
H2O2syn,Hydrogen peroxide synthesis (NADPH dependent),Tyrosine metabolism,0.22782033324309475,0.4014625041776645,-0.17364217093456974,-0.8173687337434098,-2.515839450325406,0.0144766809751614,-0.584171423474663,38,37,0.32299469049970886,False,Down,167.0,0.04482018250134192,0.04482018250134192,0.0144766809751614
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, Mitochondrial",0.18486548490989363,0.034953870229523,0.14991161468037062,2.402951779470639,2.514511236064307,0.014138079358542222,0.5799044385267322,38,37,0.32121026640200195,False,Up,164.0,0.0440150295222759,0.0440150295222759,0.014138079358542222
