subsystem,n_reactions,n_significant,expected,enrichment_ratio,p_value,diet_dominated_pct,microbiome_dominated_pct,synergistic_pct,mean_diet_variance,mean_microbiome_variance,p_adjusted,significant
"Transport, Peroxisomal",80,19,8.438003220611916,2.2517175572519084,0.0004667902464980184,100.0,0.0,100.0,100.0,0.0,0.004123313844065829,True
Triacylglycerol Synthesis,13,3,1.3711755233494365,2.187903699354081,0.15034025235977846,100.0,0.0,100.0,100.0,0.0,0.5322240048753129,False
Tetrahydrobiopterin,9,2,0.9492753623188406,2.1068702290076335,0.24404548336887766,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
Oxidative Phosphorylation,5,1,0.5273752012882448,1.8961832061068702,0.42743504479101846,100.0,0.0,100.0,100.0,0.0,0.7200148720271959,False
Propanoate Metabolism,10,2,1.0547504025764896,1.8961832061068702,0.2851390198730785,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
"Valine, Leucine, and Isoleucine Metabolism",30,5,3.1642512077294684,1.5801526717557253,0.20370633408196234,100.0,0.0,100.0,100.0,0.0,0.5998019836857781,False
Alanine and Aspartate Metabolism,12,2,1.2657004830917875,1.580152671755725,0.3662049020727351,100.0,0.0,100.0,100.0,0.0,0.6931735646376771,False
R Group Synthesis,50,8,5.273752012882448,1.516946564885496,0.15062943534206966,100.0,0.0,100.0,100.0,0.0,0.5322240048753129,False
Cysteine Metabolism,19,3,2.00402576489533,1.4969867416633187,0.3241212919418213,100.0,0.0,100.0,100.0,0.0,0.6607087874198665,False
Ascorbate and Aldarate Metabolism,13,2,1.3711755233494365,1.458602466236054,0.40545302020236373,100.0,0.0,100.0,100.0,0.0,0.7163003356908426,False
"Transport, Mitochondrial",190,29,20.0402576489533,1.4470871836078747,0.02412446723186665,100.0,0.0,100.0,100.0,0.0,0.11623606938990295,False
Taurine and hypotaurine metabolism,7,1,0.7383252818035426,1.3544165757906217,0.5420075999411665,100.0,0.0,100.0,100.0,0.0,0.7979556332467175,False
Tryptophan metabolism,42,6,4.429951690821256,1.3544165757906215,0.27874298700604283,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
Fatty acid activation,37,5,3.9025764895330113,1.2812048689911286,0.3506298592882776,100.0,0.0,100.0,100.0,0.0,0.6882734274918042,False
"Glycine, Serine, and Threonine Metabolism",30,4,3.1642512077294684,1.2641221374045801,0.391449036912172,100.0,0.0,100.0,100.0,0.0,0.7154068605636247,False
Extracellular exchange,416,55,43.87761674718197,1.2534864944216089,0.038806413407975415,100.0,0.0,100.0,100.0,0.0,0.1582107623555921,False
"Transport, Endoplasmic Reticular",102,13,10.758454106280194,1.2083520431073191,0.2753932208866531,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
Fructose and Mannose Metabolism,16,2,1.6876006441223832,1.1851145038167938,0.5152793458630972,100.0,0.0,100.0,100.0,0.0,0.7802801523069758,False
Arginine and Proline Metabolism,33,4,3.4806763285024154,1.1492019430950728,0.4653252211782088,100.0,0.0,100.0,100.0,0.0,0.7253599036013255,False
