strain,cell_type,cell_abundance,n_significant,n_total,response_rate,mean_flux_change,contribution_score,contribution_percent
C57BL6J,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.09535752090997447,3.2432772995243742e-06,0.3553037662892091
129S1SvImJ,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.19210142057614657,0.0006796877671218858,56.99041472531824
129S1SvImJ,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.13755894849836825,7.138989371776631e-05,5.9858950638467165
129S1SvImJ,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.1350715267665506,6.870246036356742e-05,5.7605593305717315
129S1SvImJ,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.14073638454805246,5.594424800594444e-05,4.690809588725595
129S1SvImJ,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.13800005435091453,4.3286035354240753e-05,3.6294446155753604
129S1SvImJ,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.1780443556552436,3.9068927031811266e-05,3.275848797226979
129S1SvImJ,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.1004019431403418,2.6952988915304702e-05,2.2599524232641723
129S1SvImJ,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.07607871593699665,2.505938334775042e-05,2.1011775094856553
129S1SvImJ,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.08804808737518081,2.3033110770057207e-05,1.9312787410581111
129S1SvImJ,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.08068790239656737,2.2362090664421212e-05,1.8750150918370057
129S1SvImJ,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.1622113445480767,1.9522334991434773e-05,1.6369074468997233
129S1SvImJ,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.26490680399747146,1.7839210598763126e-05,1.4957809446841033
129S1SvImJ,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.07313708856781863,1.6835937991445675e-05,1.4116586097836439
129S1SvImJ,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.08794810577575549,1.3375490666902308e-05,1.1215072524980285
129S1SvImJ,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.09979768470617889,1.2325383601913497e-05,1.0334579451033772
129S1SvImJ,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.13884307377303506,1.1301639527816938e-05,0.9476191200169647
129S1SvImJ,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.08621176043202496,1.0317606549941486e-05,0.8651099882872845
129S1SvImJ,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.07835070768525489,1.001418873797637e-05,0.8396690317549012
129S1SvImJ,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.2226900390598614,7.751902000822538e-06,0.6499809637704973
129S1SvImJ,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.1350715267665506,7.190445565442872e-06,0.6029040018913997
129S1SvImJ,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.13545310407006,4.606998728451484e-06,0.38628732320024367
129S1SvImJ,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.10840660628974273,3.3525645948593073e-06,0.28110561333699513
129S1SvImJ,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.08498982489313009,2.7146270904309242e-06,0.22761587186326276
AJ,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.2218708532085587,0.0007850171245713229,54.75125318129892
AJ,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.17425691681690766,9.043528543177436e-05,6.307435919823999
AJ,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.165422819649174,8.414026984250674e-05,5.86838818249416
AJ,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.1689405232260082,6.715570078029695e-05,4.683794354164474
AJ,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.16703199338475708,5.239239074904022e-05,3.6541228985809497
AJ,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.17357486502031258,4.659632340310967e-05,3.249874455101204
AJ,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.2071667453093711,4.545935997871257e-05,3.170576602406544
AJ,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.1276140705372936,4.2034488552740775e-05,2.931707924657411
