column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
HFD_GSE101657_HFD_3_Flux,HFD,GSE101657,HFD_GSE101657_HFD_3,0.9902756337598997,-1.0497988831319842,6.336486626776028,-7.617235991071481,12.288511420906575
HFD_GSE101657_HFD_4_Flux,HFD,GSE101657,HFD_GSE101657_HFD_4,-0.5337292002359265,0.9067555113545843,4.258677030971091,-0.9916782292939447,2.898439271143036
HFD_GSE101657_HFD_5_Flux,HFD,GSE101657,HFD_GSE101657_HFD_5,-8.354550658663698,-6.797469250792164,-14.678444230976169,-2.6816766121112043,3.7816932420740317
HFD_GSE159090_GSM4819134_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819134_HFD_Male,-0.2893944318311679,-5.516202580629583,1.1450096536486267,-3.249728093013516,-2.7938469084568673
HFD_GSE159090_GSM4819140_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819140_HFD_Male,0.6968567698796647,7.14786346904923,2.6609517864743086,-3.6336878149365104,-4.2498920453188695
HFD_GSE159090_GSM4819143_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819143_HFD_Male,-0.7997378786768178,9.792174575823978,6.1817582223525,-5.292861866639063,-8.413810149997586
HFD_GSE159090_GSM4819146_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819146_HFD_Male,1.6934168385377963,6.420472876793579,6.6425272709910645,-1.928975204758856,-2.299145841711153
HFD_GSE159090_GSM4819157_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819157_HFD_Male,1.013256793640641,2.1757571065071866,7.806860321196854,-5.570219794507024,-5.275972778464163
HFD_GSE159090_GSM4819163_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819163_HFD_Male,0.273814844345632,2.312237636808957,4.515082777644296,-2.6028754107436995,-3.6239993313845296
HFD_GSE159090_GSM4819167_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819167_HFD_Male,1.1949077184968164,-8.673101813493965,-1.9867825064950402,-2.7220229347108313,-1.104321050249295
HFD_GSE159090_GSM4819177_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819177_HFD_Male,0.8023490890775241,8.046090985834326,4.806875126640983,-5.187222844927359,-6.100953355042602
HFD_GSE159090_GSM4819184_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819184_HFD_Male,2.0258249832341204,-5.57434405770928,6.906051314674708,-3.781252489435699,-4.379800264327956
HFD_GSE159090_GSM4819189_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819189_HFD_Male,0.9336300768517253,-31.478792454798256,5.0022726830640085,1.971428898414885,-0.9537857294554586
HFD_GSE159090_GSM4819197_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819197_HFD_Male,-0.40312876930684577,-6.416850354288086,3.790976667336012,-5.206883356502339,0.3109479918576169
HFD_GSE159090_GSM4819202_HFD_Male_Flux,HFD,GSE159090,HFD_GSE159090_GSM4819202_HFD_Male,0.7894391768426279,-5.144092428618495,0.9213581949682774,0.014349315199718065,-4.974104149186342
HFD_GSE160646_GSM4876384_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876384_HFD_1w,0.20532329028097496,13.479027204145062,-2.518403548582098,2.447380792172613,-4.700154669199611
HFD_GSE160646_GSM4876386_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876386_HFD_1w,-0.8423472199323989,5.231863110973187,-5.665243890459452,6.917606988523915,-8.425148393245884
HFD_GSE160646_GSM4876389_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876389_HFD_1w,-2.330439391714391,-12.527105368513109,-4.608129803325946,9.793267148717337,-5.816650547873104
HFD_GSE160646_GSM4876393_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876393_HFD_1w,-3.363490106997258,4.224256508578742,-5.221130172385859,4.501991685182013,-3.8153750579675663
HFD_GSE160646_GSM4876396_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876396_HFD_1w,0.7082532304526467,-20.252479387203998,-6.4820250614270165,9.951068009502052,-4.93664782950645
HFD_GSE160646_GSM4876400_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876400_HFD_1w,1.2584099927449013,10.145371560054748,-1.518088502674645,4.833953673715718,-7.934646194339126
