ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
ATPtm,"ADP/ATP transporter, mitochondrial","Transport, Mitochondrial",HFD,SCD,1.8032545993487625,1.8653955218328604,-0.06214092248409786,,,
ATPtn,ATP diffusion in nucleus,"Transport, Nuclear",HFD,SCD,0.0,0.0,0.0,,,
ATPtx,"ATP transporter, peroxisomal","Transport, Peroxisomal",HFD,SCD,0.01404740729528155,0.015244125578871223,-0.001196718283589672,,,
AVITE1t,Alpha-Tocopherol (Vit. E) transport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
AVITE2t,Alpha-tocotrienol (Vit. E) transport,"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
A_MANASE,Alpha-mannosidase,N-Glycan Degradation,HFD,SCD,0.0,0.0,0.0,,,
A_MANASEly,"Alpha-mannosidase, lysosomal",N-Glycan Degradation,HFD,SCD,0.0,0.0,0.0,,,
Asn_X_Ser_Thrtr,Asn-X-Ser/Thr transport (from ER to lysosome),"Transport, Endoplasmic Reticular",HFD,SCD,0.0,0.0,0.0,,,
B3GALT3g,"Beta-1,3-galactosyltransferase 3",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALT41g,"Beta-1,3-galactosyltransferase 4",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALT42g,"Beta-1,3-galactosyltransferase 4",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALT43g,"Beta-1,3-galactosyltransferase 4",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALT44g,"Beta-1,3-galactosyltransferase 4",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALT5g,"Beta-1,3-galactosyltransferase 5",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GALTg,Beta galactosyltransferase,Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT11g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT12g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT310g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT311g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT312g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT313g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT314g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT315g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
B3GNT31g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT32g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT33g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT34g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT35g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT36g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT37g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT38g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
B3GNT39g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",Sphingolipid Metabolism,HFD,SCD,0.0,0.0,0.0,,,
