ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,nad_r,Nicotinamide adenine dinucleotide,1.0,0.3642495338168444,364249533816.8444
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,nadh_r,Nicotinamide adenine dinucleotide - reduced,-1.0,0.3642495338168444,364249533816.8444
Htr,"H transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",h_c,H+,-1.0,0.3636990644436302,52.31437670274041
Htr,"H transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",h_r,H+,1.0,0.3636990644436302,52.31437670274041
ALATA_L,L-alanine transaminase,Glutamate metabolism,akg_c,2-Oxoglutarate,-1.0,0.7548982296912946,0.5542059553697184
ALATA_L,L-alanine transaminase,Glutamate metabolism,ala__L_c,L-Alanine,-1.0,0.7548982296912946,0.5542059553697184
ALATA_L,L-alanine transaminase,Glutamate metabolism,glu__L_c,L-Glutamate,1.0,0.7548982296912946,0.5542059553697184
ALATA_L,L-alanine transaminase,Glutamate metabolism,pyr_c,Pyruvate,1.0,0.7548982296912946,0.5542059553697184
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",ala__L_c,L-Alanine,1.0,0.2271931443082215,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",ala__L_e,L-Alanine,-1.0,0.2271931443082215,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",h_c,H+,-1.0,0.2271931443082215,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",h_e,H+,1.0,0.2271931443082215,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_c,Sodium,2.0,0.2271931443082215,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_e,Sodium,-2.0,0.2271931443082215,0.0
