ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",co2_c,CO2 CO2,1.0,-0.3344749532565114,0.1543355745005773
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",coa_c,Coenzyme A,-1.0,-0.3344749532565114,0.1543355745005773
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",nad_c,Nicotinamide adenine dinucleotide,-1.0,-0.3344749532565114,0.1543355745005773
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",nadh_c,Nicotinamide adenine dinucleotide - reduced,1.0,-0.3344749532565114,0.1543355745005773
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",ppcoa_c,Propanoyl-CoA,1.0,-0.3344749532565114,0.1543355745005773
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,co2_c,CO2 CO2,1.0,-0.2429038876745029,0.0
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,gdp_c,GDP C10H12N5O11P2,1.0,-0.2429038876745029,0.0
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,gtp_c,GTP C10H12N5O14P3,-1.0,-0.2429038876745029,0.0
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,oaa_c,Oxaloacetate,-1.0,-0.2429038876745029,0.0
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,pep_c,Phosphoenolpyruvate,1.0,-0.2429038876745029,0.0
PROt4,Na+/Proline-L symporter,"Transport, Extracellular",na1_c,Sodium,1.0,0.4929851696563198,492985169656.31976
PROt4,Na+/Proline-L symporter,"Transport, Extracellular",na1_e,Sodium,-1.0,0.4929851696563198,492985169656.31976
PROt4,Na+/Proline-L symporter,"Transport, Extracellular",pro__L_c,L-Proline,1.0,0.4929851696563198,492985169656.31976
PROt4,Na+/Proline-L symporter,"Transport, Extracellular",pro__L_e,L-Proline,-1.0,0.4929851696563198,492985169656.31976
PROt4_2_r,PROt4 LPAREN 2 RPAREN r,"Transport, Extracellular",na1_c,Sodium,2.0,-0.3215486248606026,0.0
PROt4_2_r,PROt4 LPAREN 2 RPAREN r,"Transport, Extracellular",na1_e,Sodium,-2.0,-0.3215486248606026,0.0
PROt4_2_r,PROt4 LPAREN 2 RPAREN r,"Transport, Extracellular",pro__L_c,L-Proline,1.0,-0.3215486248606026,0.0
PROt4_2_r,PROt4 LPAREN 2 RPAREN r,"Transport, Extracellular",pro__L_e,L-Proline,-1.0,-0.3215486248606026,0.0
RTOT1,R total flux,R Group Synthesis,R1coa_hs_c,R group 1 Coenzyme A homo sapiens,-1.0,-0.4612993249545312,0.6725785119130454
RTOT1,R total flux,R Group Synthesis,Rtotalcoa_c,Rtotalcoa c,1.0,-0.4612993249545312,0.6725785119130454
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,adp_c,ADP C10H12N5O10P2,-1.0,-0.2429038876745029,0.2916269065302406
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,atp_c,ATP C10H12N5O13P3,1.0,-0.2429038876745029,0.2916269065302406
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,h_c,H+,-1.0,-0.2429038876745029,0.2916269065302406
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,pep_c,Phosphoenolpyruvate,-1.0,-0.2429038876745029,0.2916269065302406
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,pyr_c,Pyruvate,1.0,-0.2429038876745029,0.2916269065302406
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,h_c,H+,-1.0,0.4601107698909736,0.0
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,h_x,H+,1.0,0.4601107698909736,0.0
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,pyr_c,Pyruvate,-1.0,0.4601107698909736,0.0
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,pyr_x,Pyruvate,1.0,0.4601107698909736,0.0
SERGLYexR,L-Serine/Glycine reversible exchange,"Transport, Extracellular",gly_c,Glycine,-1.0,-0.3688753592869245,0.0
